"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"rcsD",-0.215860708685906,7.51174665866152,-2.36981095290573,0.056204527898274,0.122227539953469,-5.47319122374567
"grxA",0.584568401830983,0.782421128666172,2.36610706204712,0.0564871938421985,0.122721175275746,-5.47843425347305
"guaD",0.567214746021481,3.84917983524689,2.36600881403752,0.0564947119961466,0.122721175275746,-5.47857332554158
"ssuA",-1.15665540052121,1.85025645007603,-2.36393461870819,0.0566536791022496,0.1229977024221,-5.48150935949069
"queD",-0.614955416333732,3.93030564427619,-2.36314196744196,0.0567145519749608,0.12306107255349,-5.48263134492819
"gltI",-0.30423927597658,8.28398705877231,-2.35972596338895,0.0569776747068683,0.123562975187871,-5.48746653723832
"ydeP",0.85096471841495,2.84130099482051,2.357774278911,0.0571285800675393,0.123821096530314,-5.49022897297901
"rlhA",-0.286194813611669,6.8424780846534,-2.35637903617858,0.057236717710256,0.123986286439841,-5.49220377726553
"priC",0.660926079834802,5.5823272840844,2.35469689740576,0.0573673763029708,0.124190591228955,-5.49458460672903
"insZ",-0.469641254967163,2.23664317579144,-2.35434200293979,0.0573949823007142,0.124190591228955,-5.4950869035395
"yodD",1.13727972335165,0.568639861675826,2.35263675704748,0.0575278216116228,0.124408718897296,-5.49750037833329
"wecB",-0.282249450459298,8.0169381353179,-2.35063206808883,0.0576843995756833,0.124677912048945,-5.50033759666568
"ycbJ",0.284089671125843,7.24000148678234,2.34941829117816,0.0577794195372225,0.124813829523121,-5.50205540910738
"ftsQ",-0.245373680451873,8.88344269118362,-2.34707354227708,0.0579634415278659,0.125124339845439,-5.50537376619576
"sutR",1.10072854540585,3.47321628172368,2.34676638904239,0.0579875931312537,0.125124339845439,-5.50580845075029
"ydeI",0.828588449543877,3.52492392046041,2.34633988056549,0.0580211471667362,0.125125486372497,-5.50641204435866
"mscK",-0.223536839298853,5.94713798005193,-2.34594087734323,0.0580525557268896,0.125125486372497,-5.5069767094446
"zapB",0.457244154531415,5.8143811398581,2.34522090898698,0.0581092749222473,0.125178271657243,-5.50799559315909
"rhtC",0.257832116770385,7.05046286739545,2.3409860178995,0.0584440762962491,0.125829707502567,-5.51398851191845
"citT",0.739763332813465,1.42309177687013,2.33884605902752,0.0586140240259751,0.126056103338433,-5.51701669108238
"moaC",0.508109705656844,6.05480781183455,2.33884459162816,0.0586141407387255,0.126056103338433,-5.51701876751363
"racR",-0.348360689671674,7.02685310868099,-2.33400909061425,0.0590000662577565,0.126815859073119,-5.52386094987401
"yqjK",1.24605097688529,3.59480482052128,2.33286021142007,0.059092149465188,0.126943533474995,-5.52548652542292
