"Gene","logFC","adj.P.Val","P","SignedZ"
"hisP",-0.2375164465984,0.559162917919143,0.559162917919143,-0.58408530952521
"ybdR",0.142934691799651,0.559512636149582,0.559512636149582,0.583565560940435
"folD",-0.092427729916389,0.559678219603313,0.559678219603313,-0.583319527054227
"ruvB",0.0915668217872691,0.559730923755073,0.559730923755073,0.583241223453804
"ccp",0.139314671530141,0.55982552030648,0.55982552030648,0.583100688455494
"smpB",-0.116714025091965,0.560129843420872,0.560129843420872,-0.582648656527983
"dacA",0.0967676973499834,0.56031014309705,0.56031014309705,0.582380901249697
"dgcC",-0.495683456311709,0.561050689705138,0.561050689705138,-0.58128158490938
"folB",0.228527966762586,0.561867311781009,0.561867311781009,0.580070150937822
"pgaB",0.152316593232557,0.561867311781009,0.561867311781009,0.580070150937822
"yiaK",-0.408164914986393,0.562130141802648,0.562130141802648,-0.57968043170997
"ydhU",-0.103652855676429,0.563392032738282,0.563392032738282,-0.57781054852826
"recC",-0.104088934620552,0.564616299096431,0.564616299096431,-0.575998346695664
"rbn",0.200161778612931,0.565147291657826,0.565147291657826,0.575212941065275
"lapA",0.444552857649051,0.565461063829097,0.565461063829097,0.574748998821478
"yaeR",0.336492806084427,0.565461063829097,0.565461063829097,0.574748998821478
"pdeB",-0.151524252497112,0.566316989489001,0.566316989489001,-0.573484059012504
"yejO",-0.124746117966623,0.566554909036992,0.566554909036992,-0.573132609817849
"araC",-0.177528771954375,0.567202011637566,0.567202011637566,-0.572177082813217
"sapC",-0.587398827515796,0.567627794240956,0.567627794240956,-0.571548647043163
"abrB",0.20815715807809,0.567627794240956,0.567627794240956,0.571548647043163
"hypT",-0.150469699110429,0.567627794240956,0.567627794240956,-0.571548647043163
"idi",-0.743851004323303,0.569022915026765,0.569022915026765,-0.569491090924406
"rpmF",0.648460967136873,0.569022915026765,0.569022915026765,0.569491090924406
"cof",0.196092123842979,0.569022915026765,0.569022915026765,0.569491090924406
"pyrG",0.0843706404048775,0.569144236728062,0.569144236728062,0.569312276917457
"rpsO",0.205668162374644,0.57033001085078,0.57033001085078,0.567565541334433
"insD4",0.169151949394901,0.571070331578117,0.571070331578117,0.566475870291451
"yicR",-0.248117670847004,0.571403142103762,0.571403142103762,-0.565986228788773
"glpE",0.33155918410593,0.572962974504878,0.572962974504878,0.563693158122195
"ybbO",0.153374317688637,0.573092155666003,0.573092155666003,0.563503385120771
"hicB",0.246297806591357,0.573736366083936,0.573736366083936,0.562557313406695
"dsdC",0.226011536264644,0.573736366083936,0.573736366083936,0.562557313406695
"yhgE",0.143329019849138,0.574096155275995,0.574096155275995,0.562029154877414
"kdpB",0.240314551885928,0.574180127624803,0.574180127624803,0.561905908838928
"pdeC",-0.223649559157231,0.574573626931298,0.574573626931298,-0.561328484392364
"ymjB",-0.21529511541822,0.574573626931298,0.574573626931298,-0.561328484392364
"ygfB",0.117652913645719,0.575022305998565,0.575022305998565,0.560670316938092
"umuC",-0.154753803568918,0.575118744518228,0.575118744518228,-0.560528882961408
"dinJ",-0.424158749802727,0.575402551626393,0.575402551626393,-0.560112724597634
"yfgD",0.169655858037162,0.575659241738896,0.575659241738896,0.559736412559692
"yfdF",-0.268195204017781,0.575929687952537,0.575929687952537,-0.559340019575788
"puuE",0.424994663471773,0.575973007631618,0.575973007631618,0.559276534094346
"glpB",-0.316448482483324,0.575973007631618,0.575973007631618,-0.559276534094346
"purR",0.103031926377366,0.575973007631618,0.575973007631618,0.559276534094346
"caiC",-0.214241904466885,0.576444359929913,0.576444359929913,-0.558585907554097
"hscC",-0.176247925139788,0.57720671427783,0.57720671427783,-0.55746946757744
"chiP",-0.242642292834616,0.577387048992943,0.577387048992943,-0.5572054756471
