"Gene","logFC","adj.P.Val","P","SignedZ"
"amn",-1.626527028,0.00108782438069241,0.00108782438069241,-3.26676891203042
"yedJ",-1.47788538733333,0.0010994845494759,0.0010994845494759,-3.26374917614812
"yhbW",-1.30957458166666,0.00110097398487173,0.00110097398487173,-3.26336557942839
"gadX",-2.47917824816667,0.00111489537030375,0.00111489537030375,-3.2598032183436
"yahO",-5.03436509633333,0.00113122168091809,0.00113122168091809,-3.25567748694384
"fhuD",-2.6414464315,0.00113122168091809,0.00113122168091809,-3.25567748694384
"idnR",-1.44267936783333,0.00113122168091809,0.00113122168091809,-3.25567748694384
"nuoE",1.44567292583333,0.00114376977043495,0.00114376977043495,3.25254377391774
"yjdN",-4.41332624466667,0.00118740546371105,0.00118740546371105,-3.24188831421679
"dppC",2.03339800316667,0.00118740546371105,0.00118740546371105,3.24188831421679
"bcsE",-1.30646173633333,0.00118740546371105,0.00118740546371105,-3.24188831421679
"ydeJ",-3.4071452215,0.00119275493419732,0.00119275493419732,-3.24060701290265
"dicD",-2.08616450566666,0.00119275493419732,0.00119275493419732,-3.24060701290265
"srlD",1.53628334283333,0.00119275493419732,0.00119275493419732,3.24060701290265
"dgcQ",-1.4759360195,0.00119275493419732,0.00119275493419732,-3.24060701290265
"astA",-2.82809560316667,0.00123509136141814,0.00123509136141814,-3.23064986639791
"ybiI",-3.964023132,0.0012562791576261,0.0012562791576261,-3.2257844844963
"amyA",-3.6340710735,0.0012562791576261,0.0012562791576261,-3.2257844844963
"gabT",-3.17636537416667,0.0012562791576261,0.0012562791576261,-3.2257844844963
"sdhB",2.6625092755,0.0012562791576261,0.0012562791576261,3.2257844844963
"pdeR",-2.18464245666667,0.0012562791576261,0.0012562791576261,-3.2257844844963
"nuoI",1.51223391633333,0.0012562791576261,0.0012562791576261,3.2257844844963
"yfeO",-1.28522077966667,0.0012562791576261,0.0012562791576261,-3.2257844844963
"yhiJ",-1.80638403383333,0.00129439410700886,0.00129439410700886,-3.2172197601297
"astC",-2.78205240633333,0.00129770816835596,0.00129770816835596,-3.21648610653846
"hchA",-3.37476240266666,0.00130633458089963,0.00130633458089963,-3.2145845038732
"selO",-2.21553193533333,0.00133341943615346,0.00133341943615346,-3.20868834227165
"yddB",-3.42174231583333,0.00134452066918302,0.00134452066918302,-3.20630356625416
"treF",-2.350278517,0.00135499779296898,0.00135499779296898,-3.20406946585781
"nrdE",-6.1057638015,0.00137667601848393,0.00137667601848393,-3.19949703794915
"prfA",1.62783001916667,0.00137667601848393,0.00137667601848393,3.19949703794915
"gapC",-2.72356962883333,0.00138459413489254,0.00138459413489254,-3.19784347210706
"rpsQ",1.29646737266667,0.00138459413489254,0.00138459413489254,3.19784347210706
"patD",-1.53688814383333,0.00138509574602224,0.00138509574602224,-3.19773901300129
"nanQ",-1.8095007625,0.00138708808793891,0.00138708808793891,-3.19732445757875
"yafL",-1.20412131883333,0.00138813011626966,0.00138813011626966,-3.19710785677523
"sra",-5.92586651883333,0.00139188738172258,0.00139188738172258,-3.19632809734357
"rclA",-3.420354794,0.0014120564068121,0.0014120564068121,-3.1921752287624
"nuoG",1.98641468366667,0.0014120564068121,0.0014120564068121,3.1921752287624
"ybiJ",-2.58988708716667,0.00141301834352282,0.00141301834352282,-3.19197853222464
"ivy",-2.15339269633333,0.00143033579205828,0.00143033579205828,-3.18845841997906
"entD",-4.76105698033333,0.0014990332621739,0.0014990332621739,-3.17487061340222
"yhaH",-1.72642759016667,0.0014990332621739,0.0014990332621739,-3.17487061340222
"yhbO",-3.59036685316667,0.00150979674507472,0.00150979674507472,-3.17279387374721
