"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ftsE",0.0957745440000025,7.241769934,0.483197850342935,0.641583318026233,0.759216232732522,-6.99971820000899
"rpe",-0.118195586166665,8.214303049875,-0.482101333344932,0.642329422378599,0.759368611339227,-7.00029178920646
"mrcA",-0.322197061333332,4.9824287965,-0.482089079114856,0.642337762972003,0.759368611339227,-7.00029819245283
"zipA",-0.103205010833334,8.561567369375,-0.481985030831021,0.642408583493968,0.759368611339227,-7.00035255497761
"lplA",0.164459464500002,5.584277267875,0.481573489752263,0.642688737123901,0.759368611339227,-7.00056746587267
"yedA",-0.1947047335,1.066482464375,-0.48143354961196,0.642784014172742,0.759368611339227,-7.00064050451174
"xapR",-0.193995288499999,4.423281984125,-0.481367362679232,0.642829079420042,0.759368611339227,-7.00067504232165
"pphC",-0.129489512333333,1.65323541425,-0.480516838850027,0.643408322007677,0.75983281571202,-7.00111846526936
"melR",-0.283239538333332,4.69575395725,-0.479163501680725,0.644330534180326,0.760701663942562,-7.00182250364085
"yibS",0.282559708,0.879641274,0.478652853654909,0.644678677658965,0.76089245548927,-7.00208766726369
"fryC",0.218303211666667,1.49120174425,0.477520255911888,0.645451177914451,0.761322025530931,-7.0026748360853
"hypT",-0.109261005333332,4.794314463,-0.477329495167242,0.645581333202323,0.761322025530931,-7.0027736021152
"yjgX",-0.135608542083332,3.1939122056875,-0.477080125797762,0.645751496428004,0.761322025530931,-7.00290265637711
"ynfH",0.132564391833334,4.399971293875,0.476939211862859,0.645847662235465,0.761322025530931,-7.00297555430882
"fliA",-0.249961092666666,1.9951982605,-0.476751377776494,0.645975859368118,0.761322025530931,-7.00307269341794
"ygeI",0.274925609833334,0.650638913375,0.47638107945147,0.646228625405423,0.761399931550757,-7.00326408860251
"bamA",-0.0833663824999977,9.651784356625,-0.475917672524514,0.646545016052072,0.761552734760729,-7.00350341043511
"paaI",-0.214423693166667,1.809198161125,-0.475403500410784,0.646896155744009,0.761746368152371,-7.00376869157719
"cadC",0.379443282833334,3.417695898125,0.47452705510555,0.647494915940414,0.762231388779494,-7.00422025798779
"rhsB",0.0849434043333341,2.73398757525,0.473876253490435,0.647939699351941,0.762534920270216,-7.00455505703572
"panF",0.237183237000001,4.63683656975,0.473004035867576,0.648536042079342,0.763016589455333,-7.0050030795864
"yeaE",0.149766500166666,5.658105152625,0.471164474784009,0.649794646572319,0.76427692138653,-7.00594542497067
"rlmF",-0.148280177999998,5.4139645825,-0.470311485744066,0.650378655666683,0.764743308291842,-7.00638120259395
"intS",-0.323353229499999,4.873895044875,-0.469464390072763,0.650958883143587,0.765204981078585,-7.00681322917132
"mqsA",-0.1634492145,6.949411637625,-0.467874121028161,0.652048836129688,0.766265399761739,-7.00762228796578
"sstT",-0.188556978333329,9.38678778275,-0.467306268739449,0.652438250776494,0.766502196116739,-7.00791055582807
"yjbF",0.090978817666667,1.38131913075,0.466974198564491,0.652666026051028,0.766549012456707,-7.00807897612153
"ruvC",-0.146142350666665,7.368607515,-0.466692425767352,0.652859331366098,0.766555328912583,-7.00822179744408
"yfjM",0.209432317833334,1.641962318875,0.466191599400437,0.653202983130754,0.766738120342546,-7.00847544807107
"relA",-0.0938880254999984,7.604308796375,-0.46456218079826,0.654321646918191,0.767830264033171,-7.00929890340836
"acrR",0.1715797415,5.130353217125,0.46405817799697,0.654667853470404,0.768015580760937,-7.00955305639468
"amiA",-0.156452661166665,6.708987861625,-0.463206777825191,0.65525289317418,0.768480894553618,-7.00998179666693
"yehR",0.2280343165,2.153201716375,0.460419054177595,0.657170241451011,0.770508023822557,-7.01138038470502
"yccA",0.132629481000004,9.79537182575,0.459421378320977,0.657857080714231,0.771066679138883,-7.01187896675443
"stfQ",-0.134332488833333,1.377068326875,-0.459144145573916,0.658047999802743,0.771066679138883,-7.01201732969632
"caiE",0.162981469833334,1.695941194375,0.458903388357104,0.658213821221277,0.771066679138883,-7.01213742387357
"gyrA",-0.099577300333332,9.26404646075,-0.45756762450247,0.659134191764758,0.771923160553674,-7.01280264099114
"insF4",-0.0811615238333318,4.996210366125,-0.455473486354792,0.660578337348014,0.773316203856424,-7.01384182415693
"hupA",-0.174232508833328,10.091883913375,-0.455293018401723,0.660702861103123,0.773316203856424,-7.01393116653613
"rspA",-0.123850824166666,2.162732033875,-0.45441550731871,0.661308507484461,0.773663962890673,-7.01436510710273
"dcyD",-0.141651074666663,8.0788968655,-0.45431293596829,0.661379318117131,0.773663962890673,-7.01441577801571
"rnhB",0.144330382166667,5.963319701625,0.453690311814328,0.661809227209598,0.773944907622692,-7.01472312503747
"rhtB",0.311619771833334,6.813882838375,0.452030874767333,0.662955683038952,0.775031346177306,-7.01554031813142
"ygjK",-0.151435238666667,2.075786639,-0.451795657648508,0.663118263829075,0.775031346177306,-7.01565592082856
"emrD",0.129488352333334,1.46690800275,0.450315253753206,0.66414194475527,0.776005440463119,-7.01638218452961
"fliN",0.1854913435,0.881758447625,0.449948596060215,0.664395599550315,0.776079510471287,-7.01656171082985
"yhdZ",-0.191466752999999,3.95378607225,-0.448599415362328,0.665329360743611,0.776851587705907,-7.01722111086061
"mglA",-0.439135548666666,3.58943192,-0.448443264751976,0.665437471793194,0.776851587705907,-7.01729730639171
"gutM",0.218548085500001,2.208978087625,0.448145561595768,0.665643609873316,0.776869895471605,-7.01744250419583
"hscA",-0.108383280333331,7.59885971825,-0.447815438762792,0.665872231469879,0.776914425676669,-7.01760340661871
"tdcF",0.174009222333334,3.09480934775,0.447205845903693,0.66629449309177,0.776943347492641,-7.01790022652344
"mhpT",-0.121279840166666,2.705429927875,-0.446883908036522,0.666517548568606,0.776943347492641,-7.01805682756078
"yqhH",0.161253312833334,1.612736084125,0.446487803901593,0.666792038559608,0.776943347492641,-7.01824935813681
"mtn",-0.087446104166662,9.209816744875,-0.446322956924616,0.666906288951883,0.776943347492641,-7.01832943583254
"ygeH",-0.121440026,1.349858138,-0.446093029931675,0.667065659686993,0.776943347492641,-7.01844108040811
"pspG",0.240692543833334,1.728066606875,0.445883129591211,0.667211164857147,0.776943347492641,-7.01854295289747
"hycG",-0.190644619666666,2.86311254325,-0.445855473595058,0.667230337402972,0.776943347492641,-7.01855637198272
"tatE",0.208449030166667,3.891531763625,0.444919515722657,0.667879343689994,0.777477124118575,-7.01901004471223
"phoE",-0.1660156675,2.649160890875,-0.444253051033452,0.668341660161146,0.777676428335501,-7.01933253649072
"fabB",-0.1374976405,9.070961600625,-0.44401356923647,0.668507821697809,0.777676428335501,-7.01944830547978
"mprA",-0.139556485333331,8.150793066,-0.443848284359164,0.668622513893749,0.777676428335501,-7.01952817190679
"rbsC",0.252735877833336,4.796341613875,0.442834132944112,0.669326441527563,0.777824996664656,-7.02001759430404
"yhcA",0.233651866166666,2.156664518625,0.442725352063786,0.669401967472434,0.777824996664656,-7.02007002783967
"yegV",-0.0943412811666652,3.810413857125,-0.442656207915571,0.669449975932031,0.777824996664656,-7.02010334966909
"pyrH",-0.27322071433333,7.57477593875,-0.441923239920929,0.669958992351857,0.777824996664656,-7.02045627533784
"mltA",-0.275493866833332,6.679987951375,-0.441727184989736,0.670095175157185,0.777824996664656,-7.02055058170646
"ettA",-0.1264747185,8.847563247125,-0.441603588921356,0.670181033551425,0.777824996664656,-7.02061001340256
"yaiZ",0.195991055833333,3.286516757875,0.441448326954514,0.670288896550477,0.777824996664656,-7.02068464931298
"fecC",-0.567236737833332,4.192037942625,-0.441249623702462,0.670426950731608,0.777824996664656,-7.0207801313634
"focB",0.103318374333333,3.04429950475,0.441192761720797,0.670466459493241,0.777824996664656,-7.02080744747398
"mglB",-0.358653470166666,4.969257338875,-0.44027337544945,0.671105416849616,0.778232203909844,-7.02124864853343
"hemF",-0.209494925166665,5.667708032625,-0.440107009441329,0.671221068618214,0.778232203909844,-7.02132839156585
