"","Read_count_A.1","Read_count_A.2","Read_count_A.3","Read_count_WT.1","Read_count_WT.2","Read_count_WT.3","Read_count_B.1","Read_count_B.2","Read_count_B.3","Read_count_C.1","Read_count_C.2","Read_count_C.3"
"aceB",17.0378215457877,15.7985652911013,16.243173020162,15.5160008228735,15.6178335983135,15.6765526181466,16.5602324128062,16.6250872933855,15.8383553154199,14.6956274667681,14.3883724203289,14.2294136420619
"aceE",15.58321842296,15.4256762762106,15.5634418139845,15.3240158282417,15.5455329867733,15.127548877073,15.1084385407191,15.5254645033781,15.6680542943333,14.7933965039811,14.7858799316292,14.4479817249616
"aceF",14.2551325477261,14.6435744186546,14.9071519723611,13.904266081806,14.0967051662995,14.0337396780539,13.312021859179,14.4217569043428,14.8515517377874,13.6724460272897,13.6283686853621,13.1306287735987
"aceK",14.5743057420387,14.7485106584355,14.3743637646428,13.9089261637709,13.9906611091756,14.3009239116722,14.2221174469969,14.1889374125694,14.0637829408032,13.0635329015362,12.8641165054454,12.705913831014
"ackA",11.8609539725763,11.831508022127,11.9340660267893,12.1358449976191,12.4637603200285,12.3270305957309,11.9219589044195,11.9243792307773,11.822612681744,12.2736503628368,12.0843986277671,12.1910407038135
"acnA",12.6051649436118,12.359381320692,12.741392231398,12.454952992941,12.4860366141808,12.4424747407936,12.129650793993,12.5978778813369,12.5845369190558,11.8905864768743,11.7238491820184,11.5860916831952
"acnB",15.294171943877,14.776394187587,14.736521171292,14.2988243927809,14.2372882006964,14.5655092614622,14.8158300798767,15.2907989645863,15.0896295292527,13.453329079151,13.4633363606056,13.6071834913751
"acpH",9.09522176690551,9.26846089437574,9.23415214835184,9.20347625905095,8.80526646203569,9.13583070819271,8.80914398092945,8.92927222755865,9.16062133363194,9.38192857835144,9.37096932700399,9.452524586547
"acpP",14.6171037038412,14.8038897607137,14.1916603050693,14.6168370402779,14.8506632482589,14.7779979738985,15.084710656739,14.744299709395,14.5187294072913,14.3947773691156,14.3148714049452,14.363810840112
"acpT",9.98175758281994,10.0542314167204,9.49934607781925,10.3486036738169,10.0815799428776,10.5376036381728,10.3168495208655,9.84745641287353,9.7864010073542,10.6063568942712,10.3342523479589,11.0437915934321
"acrA",12.7323128652827,12.4614168426627,12.9985057612762,13.3755260749389,13.102412401311,12.9846809005947,12.9214748299421,12.9898892382743,12.9436941394931,12.9864220130918,12.8904087773596,12.7933844472867
"acrB",13.7823322802543,13.6153039062439,13.6254275718094,13.9373962371065,14.064037330131,14.0602265023235,13.4894199284859,14.0333963303067,14.043609406262,12.7830917681673,12.8645819271156,13.014192390753
"acrD",9.86246369851643,10.4904118629037,10.2227459637401,11.4506866044196,10.9971075986327,10.874187509939,9.79715290909264,9.98652769239842,10.0843428146275,10.6620024088487,10.6385208654872,10.5340234220307
"acrE",6.87178451444166,7.15128189428995,6.86738800734997,6.64660541641813,6.7789707264572,6.70073177943847,6.83478583519226,6.64598205017118,6.78562099444571,6.87965923759985,6.97676805786639,6.8984194480087
"acrF",8.97294054933051,9.39045969668092,9.13156286286421,8.97507784878045,9.00361989641024,9.13892872443505,8.84042179563287,9.04713987650276,9.18265589163655,9.34734971131333,9.21033244965779,9.29403704844353
"acrR",11.876195164694,11.7302759431231,12.3081008981453,11.8064468481151,12.1092810234175,12.0887215954078,12.1968887319328,12.2103442948163,11.8834514062441,12.3512580986446,12.1845704666687,12.2754367841612
"acrZ",9.31807968144454,10.2152941095982,8.79274428388076,11.0406312950319,10.9893310035862,11.2392851676852,9.30017078382422,8.27135666500344,9.46285390644367,8.95388170415924,9.6597831984035,8.42642671364661
"acs",12.4134619170123,11.8231992236598,12.2337853091725,11.4139152921068,11.4852608816526,11.7207360722437,12.114540226424,12.7588129340199,12.7812062430434,11.0465150519046,10.963125329213,10.9289512299606
"add",11.6253394672006,11.8718120242903,10.8575657240627,11.6477810291634,11.2081340655703,11.2284201095655,11.450735442079,11.4453269387114,11.214640696264,10.8750641728562,10.7683548686354,10.9039542928281
"adeD",9.26406161491645,9.66545365934057,9.1251691792399,9.21315558613335,9.14193693488261,9.27187086943644,9.47724785673354,9.38432195868381,9.24082082894394,9.1608080551187,9.31974824628385,9.63517081547716
"adeP",11.8856397870432,10.7332465209372,10.7891202896111,11.2987563460829,11.3009006734874,11.5125952162383,12.327472602734,11.6831102800822,11.3591473519455,10.7833682111468,10.819183483877,10.7507437308565
"adeQ",6.54831531961224,6.62644641349116,6.218129329925,6.49561832894637,6.08509345546754,6.0256228307353,6.48382297712791,6.26201318377016,5.96106295210959,6.49984667790734,6.25241388671712,6.28149071309401
"adhE",15.366276138571,15.4819166887912,15.2766612616953,16.4874613187474,16.6649071168099,16.0742047712551,14.2692911283602,15.6568780152877,15.2229439194902,15.6514442795088,15.7610300511374,16.8359766847079
"adhP",9.15268252611175,9.46070999903689,9.29427761211327,10.6181618287817,10.8545679743783,10.4266417717932,9.27749743980072,9.47585263198139,9.55018869407494,9.20009630474749,9.34024126743226,9.18106332044609
"adiA",9.17133845279406,9.27497470238204,8.76833240751882,9.29746527261604,9.23695500966063,9.32995226070045,8.97686232310164,8.89004769085645,8.69699380712703,9.22316564922727,9.10333465015861,9.52760998129653
"adiC",7.58890287841661,8.18072119817291,8.07154680676698,7.84134050653289,7.8846477521986,7.67618077389795,7.74012678618983,7.57068760634448,7.72187625645825,8.66805848153262,8.66754734570518,8.90092006958115
"adiY",8.32633459546206,8.8642140072483,9.20008412188048,8.43651403091408,8.87445990493889,7.99632065664707,6.35925202563094,8.34888634150575,7.75588742786772,10.0842450519294,9.87982447564053,11.6652281434788
"adk",14.3961998329402,13.4383850316229,13.9485713438975,13.7869463255463,13.5643879739685,13.8349935533822,15.1346432952611,14.0689513780195,14.0355251952479,14.6024510432795,14.3662919891547,14.1853971930872
"aegA",8.79188498100023,8.82923160664121,8.74905553269923,8.71384429245004,8.2708898751251,8.68007707159352,8.56885749265939,8.39834951113807,8.81858251083391,8.8764452036881,8.96432376678641,9.10568007895203
"aer",8.78786039504056,8.82035180057191,8.71255733290276,8.60775474013055,8.18086329186187,8.67581692041152,8.84428425615787,8.78612027369801,8.86992851858357,8.64773853793369,8.91340215531291,8.90685398753923
"aes",8.90024197918953,8.5889723884801,9.0393645030495,8.7408646110818,8.48958438627774,8.50863112529285,8.77312608506481,9.21386852898336,9.07905919342162,9.00978958214174,9.08555588786703,9.38186084473795
"afuB",6.38674675564952,6.3818655737878,5.95329806095761,6.51145365830686,6.61022990069585,6.91876796509432,6.17422321882778,6.05420249589905,6.04656325116467,6.38403382151785,6.5414985732675,6.63729308834637
"afuC",7.83511156219594,7.83757766050146,7.97526292324509,8.32485956877535,7.98195635020511,8.24091170199048,8.4111292141021,8.03533272136193,8.33038969562146,8.05415055850361,8.07136494981186,8.37597752424626
"agaA",5.99564666521339,6.25517302210075,5.99159019871682,6.49561832894637,6.06138700820479,6.22656716902286,6.12395644305729,6.37555232251371,6.01863089505922,5.84389183556276,6.34971868338854,6.74750776361217
"agaI",6.22864976020317,6.47570917619384,6.20192648503312,6.09375496913244,6.17615865731902,6.29517373058762,6.38078201734694,6.45280599335037,5.96106295210959,6.48969710549676,6.27961584603369,6.04212822311132
"agaR",11.5495298468523,12.1171907221964,11.9452990728146,11.3745658842582,11.2691385519414,11.3206542615847,11.5035847980917,11.7965006424403,12.1458528726138,11.7473012981089,11.9014542383918,11.8544033102487
"agaS",7.07074188145865,7.70870672372186,7.46245333716142,7.05536069678997,7.16939707303465,7.21773325364783,7.1165764809141,7.29035213320576,7.44787752960058,7.1797306837201,7.57007548331749,8.28776292700537
"agaV",6.77728816635819,6.28142654641858,6.80460776630465,6.4634122679622,6.21959807298142,5.99838589653366,6.52304797916334,6.8307087292336,6.86581445459192,6.7916509826368,6.37514518283481,6.16682897684236
"agaW",5.45386157192874,5.45903972074411,5.32888962978821,5.65175449065719,5.44146055419654,5.47133617990465,5.01617211501322,5.21276415602109,5.29846564857909,5.23091935573123,5.12313971307485,5.45909709240079
"agp",11.3380946119289,11.5146833741711,11.7644666396058,12.051029175294,12.2214096075724,12.1911309186947,11.2115809798283,11.7640933144739,11.6953906696206,11.5409408575018,11.7738646209493,11.4575898352252
"agrA",5.1296162435696,5.50479988865417,4.63398289188219,5.62262685641976,5.44146055419654,5.15902163934848,5.71125190412473,4.47978005011571,5.25056799339961,4.5315936837413,4.82737854029402,3.33053464707843
"agrB",4.46864394738168,4.96048419792204,4.06885904740195,4.50651879591752,4.72854098516606,4.61115385151125,3.62728365931288,4.06399363034881,4.29893571956532,4.02063763834856,4.33969308456512,3.66388724366705
"ahpC",16.1304073479703,15.565319259213,15.8593730059938,15.5388500885736,16.1861694790503,15.707266753104,16.2169748305101,16.2827185613071,15.7890054199511,15.1965145334885,15.0387702694337,15.2865129342019
"ahpF",13.6058680069853,13.419953112052,13.626276656476,13.302604626332,13.1467835701967,12.9629964914106,13.6594797950634,13.8844209019183,13.7693074653637,13.2184009501005,13.2370392894677,13.1890065975636
