"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"folM",0.0201547461142857,0.0201547461142857,0.389939611637846,0.698804948641023,0.757879559683924,-7.26710934403905
"ycaM",-0.0222366736060606,-0.0222366736060606,-0.389511582393392,0.699244437024137,0.758157157308847,-7.23789601534307
"yahI",-0.168719428545455,-0.168719428545455,-0.394350311998022,0.699619604557445,0.75816594607209,-6.68833818448623
"ftnA",0.0218135620571429,0.0218135620571429,0.388867868838296,0.699590851339635,0.75816594607209,-7.26753441072579
"yacL",-0.0284328498285714,-0.0284328498285714,-0.385918838798651,0.701755084788462,0.760280685880182,-7.26869804351218
"yigF",0.0265614413870968,0.0265614413870968,0.384881330103769,0.702779966503629,0.761191411019006,-7.20850858092692
"rspR",0.0204477754857143,0.0204477754857143,0.384150659952714,0.70305392524487,0.761288536090841,-7.26939152039994
"cho",-0.0447938515185185,-0.0447938515185185,-0.384651395042614,0.703283003821089,0.761337025362924,-7.13963759664497
"pheS",-0.0389068341515152,-0.0389068341515151,-0.382297441669579,0.704539281977894,0.762497189900623,-7.24073459410568
"hrpB",0.0446407251785715,0.0446407251785714,0.381343201205129,0.705618389433586,0.763465051532254,-7.15908529681007
"b1903",0.0211067056666667,0.0211067056666667,0.370841417873634,0.712978151402762,0.771024278388694,-7.24513409129343
"plsX",-0.0365632866857143,-0.0365632866857143,-0.370899469650573,0.712816261737107,0.771024278388694,-7.274488030899
"intQ",0.049608558,0.049608558,0.370908464096748,0.713383087898721,0.771260281630363,-7.14495263869241
"nfsA",-0.0209263985294118,-0.0209263985294118,-0.368555519815449,0.71460572385158,0.772247421059544,-7.26089915785947
"b0690",0.025815251,0.025815251,0.368390786701588,0.714670029220682,0.772247421059544,-7.27543290132731
"ynaI",-0.0257454047142858,-0.0257454047142857,-0.367243286255773,0.715518548950402,0.772962114464987,-7.27586297410769
"argG",0.0471596957428572,0.0471596957428571,0.366394571642311,0.716146366834693,0.773438076181468,-7.2761802077498
"yfcZ",0.0486247769696969,0.048624776969697,0.366160034993744,0.716437254318378,0.773549999369896,-7.24689367983328
"ydbH",-0.022804932909091,-0.0228049329090909,-0.365389316643356,0.717007327561992,0.773963227112252,-7.24718124264529
"ybjJ",0.0266857112285713,0.0266857112285714,0.364939729495847,0.717223018712888,0.773993806244237,-7.27672230535713
"pqiC",-0.0197940678823529,-0.0197940678823529,-0.362945123929615,0.718756585940292,0.775446188696617,-7.26299120485999
"yfdH",-0.0347021529354839,-0.0347021529354839,-0.360851116823404,0.720496740436282,0.777120635702945,-7.21765738338364
"dgcN",0.0411282277000001,0.0411282277,0.358781430551765,0.722100416028159,0.778647042185415,-7.20205433396089
"yciH",-0.00995864588571428,-0.00995864588571429,-0.357697853305853,0.722591013997935,0.778972724119381,-7.27938888213434
"b0370",0.0342056648235294,0.0342056648235294,0.356085134128693,0.72384372331515,0.779916124417028,-7.26550591591742
"zapE",0.0189428775714286,0.0189428775714286,0.356257343794044,0.723660489604496,0.779916124417028,-7.27991297242674
"ymfJ",0.0140081936,0.0140081936,0.354811215148875,0.724734702137272,0.780672504440436,-7.28043699433541
