"","42C_A3_R1_44C","42C_A3_R2_44C","A3_F181_R1_44C","A3_F181_R2_44C","A3_F228_R1_44C","A3_F228_R2_44C","A4_F244_R1_44C","A4_F244_R2_44C","A8_F232_R1_44C","A8_F232_R2_44C","A9_F200_R1_44C","A9_F200_R2_44C","A9_F255_R1_44C","A9_F255_R2_44C","A10_F210_R1_44C","A10_F210_R2_44C","A16_F258_R1_44C","A16_F258_R2_44C"
"ccmB",5.76840187913867,5.69339110557995,6.18097429482343,6.45787684547728,5.96070913480063,5.62892744770819,5.96971961422237,5.56422357216932,5.91756134676422,5.84049074446718,5.6245454162576,5.82075879397481,5.71985169706253,5.67023729853054,6.00121408630453,5.8262888581086,6.1006490000767,5.80912616630363
"ccmC",6.53459790886487,6.4330846890236,6.31959892908442,6.87471123521044,6.77663074201722,6.44340572628736,6.44659909276924,6.61367219181506,6.6461074688151,6.71328177151945,6.48805708418797,6.51163502533029,6.60504717033103,6.47197982736922,6.73683254672253,6.702655541465,6.74145037982373,6.65064328948796
"ccmE",6.04074869869795,6.25171462371823,6.76654847710138,6.9470759895641,6.10582095768649,5.84537835453284,6.23700522374943,6.43567782909267,6.2906512290249,6.20019350106249,6.24073728897168,6.18689925929466,6.26567894049628,6.05488197604847,6.60382572216032,6.45480291606696,6.25014226828785,6.30227992179934
"ccmF",7.28267002534256,7.22020801405588,7.75771918131946,8.1391974840053,7.56375985111587,7.63158620363531,7.48076716542598,7.5072191252685,7.54410014221406,7.60374625201276,7.56250651129364,7.16495772545653,7.64204950671734,7.43470568269822,7.5386251915372,7.72201519149768,7.94234987157354,7.54410529169361
"ccmG",5.63574924380533,6.09016636234069,5.65083095140398,6.6817459400408,6.14456471317696,6.01172205699968,6.06481744252937,5.90742834637189,5.9811724790503,5.93988722556024,6.05303648112227,5.87963689253404,6.05829131942076,5.87654627700734,6.20202896423498,6.29037415914602,6.56517784330277,6.249607605869
"ccmH",6.75890774814137,6.78518257566065,7.60716068400626,7.4149846043185,7.36255466828533,7.24569513997521,7.01041340229353,6.90300289674213,6.96016670944718,6.85568085374216,6.9200608442729,6.74433398689717,7.06158417376672,7.01454241944119,7.5386251915372,6.94085694616246,7.19146516852543,7.33718191235618
"ccp",6.46112388944956,6.46903250865838,7.89395388207191,7.75534784195613,7.84667849771644,6.42908630105587,6.43263967615377,6.16183044076914,6.43148913831419,6.20019350106249,6.54034446103476,6.47498074720045,6.31294810149508,6.212308547947,7.50209971763095,6.88497372008249,6.7741929542015,6.81483723206719
"cdaR",7.00445716204829,7.04311145184332,6.94588606373393,7.01591633722562,6.99994407025805,6.59188135763617,6.61635620215864,6.84970257942827,6.62296482509764,6.53169507493116,6.70930376196617,6.74433398689717,6.50089107387445,6.67431111189042,7.14686287290628,7.02074664490827,7.22716016255227,6.98318551389762
"cdd",8.43813686421233,8.48522156093823,8.36911050079919,8.09025499036908,7.80029309495003,7.93520483525039,7.56503580035433,7.80833418084208,7.40787024942534,7.34087987048655,7.56872440710568,8.28078639586273,7.7579821263421,7.62284806275899,7.95770833319753,8.05911655558376,7.65098250810683,7.45581778259243
"cdgI",5.20561537697303,5.35746482373177,6.18097429482343,6.44351561802543,6.12533137518764,4.89436664958168,4.88076949764448,5.08854855922675,4.4074310981435,4.6444263443993,5.20563681286596,4.41582094475893,4.83743275181143,4.59411665161004,6.53225373008878,5.38976268742832,5.18318280643286,4.78048761238141
"cdh",7.08413605246883,6.97880040353582,7.43887777468886,7.64858644392698,7.11875754861135,7.33167210950184,7.92494346049357,7.68694748886139,7.63075450722036,7.52523094845133,7.59941484485139,7.64888583433562,7.90095528947501,7.75506763880176,7.52047910387616,7.64057345737462,7.7602298682582,7.89649769907136
"cdsA",8.99059032946694,8.66318804317384,9.24946638894714,9.28030237792189,9.14806368451627,9.08738010650496,9.27469579635176,9.13869039567946,8.92568726613995,9.05687015217335,9.10255010298594,8.77362374591197,9.04300495664635,9.08682070815196,9.14440649357717,9.08162013499549,9.41760014342239,9.45121771100032
"cecR",7.00445716204829,7.05874322455837,7.24807772222137,7.53321741157311,7.82367333244633,7.53624765107819,7.41238520483913,7.49347410301675,7.28186078384648,7.32327953918495,7.26576048066131,7.40828590891447,7.413388905948,7.34070876752284,7.17040056006053,7.57191068743493,7.15485106705209,7.27824982265574
"cedA",4.98645277565771,4.64884852256956,5.11323293671253,5.12551160542546,5.12639789592766,4.98879237506108,5.44253082121316,4.80099733372405,5.13208780304392,5.19951879903108,5.16923004343061,5.18155694796291,5.18618001555915,5.08724483238059,5.47537748451496,5.20144797388567,5.51358890898564,4.89469818999512
