"Gene","logFC","adj.P.Val","P","SignedZ"
"ypfJ",-0.292090059429918,0.191144769803255,0.191144769803255,-1.30720007580368
"mobA",0.239354521383418,0.191144769803255,0.191144769803255,1.30720007580368
"macB",0.225763412193555,0.191144769803255,0.191144769803255,1.30720007580368
"ymdF",-0.337888523600861,0.19194417644997,0.19194417644997,-1.30484927532676
"tapT",-0.367310549996446,0.192050435357904,0.192050435357904,-1.3045373442331
"yagL",-0.579785707231209,0.192092178872716,0.192092178872716,-1.30441483769589
"ssnA",0.920549454268565,0.192355186650625,0.192355186650625,1.30364342698567
"nlpD",-0.344059849406004,0.192937226745708,0.192937226745708,-1.30193903605248
"fimH",-0.626649761429317,0.193618641781499,0.193618641781499,-1.29994843857388
"sodC",0.360877910127174,0.194304589988053,0.194304589988053,1.29794978751461
"yraR",0.454205584155848,0.194369960585835,0.194369960585835,1.29775958729046
"yafD",0.318065264855189,0.194712974070502,0.194712974070502,1.29676233470328
"yfiM",-0.615516146601666,0.194819993055332,0.194819993055332,-1.29645145926262
"insD3",0.417170686068273,0.194821583337327,0.194821583337327,1.29644684065671
"fliC",-0.357524538698005,0.19531240846762,0.19531240846762,-1.29502267204948
"narL",0.183013874456302,0.195315383870446,0.195315383870446,1.29501404668637
"mqsR",0.247087364171405,0.19544709760437,0.19544709760437,1.29463231965654
"yibT",0.56064179151675,0.195634276460804,0.195634276460804,1.29409017033098
"rstB",0.44659748961487,0.195836256851731,0.195836256851731,1.29350557583985
"pcm",-0.297211146469022,0.195952707902433,0.195952707902433,-1.29316873084633
"yjfN",0.592013148420004,0.196376015530532,0.196376015530532,1.29194551032195
"menC",-0.268696246678205,0.196762827630486,0.196762827630486,-1.29082943775237
"btuD",-0.451532605473317,0.196938000067442,0.196938000067442,-1.2903245396304
"yafN",-0.398784980973024,0.1976277458967,0.1976277458967,-1.28833968083358
"yegU",0.356864546559489,0.1976277458967,0.1976277458967,1.28833968083358
"sra",-0.547499750537935,0.197634238214172,0.197634238214172,-1.28832102220961
"yijE",0.537560203028379,0.198647684821741,0.198647684821741,1.28541390465233
"yidX",-0.256352524808048,0.199100978782523,0.199100978782523,-1.284117119718
"treA",-0.674226496365334,0.200082362489142,0.200082362489142,-1.28131694762134
"yrbL",0.345373696875286,0.200959585978857,0.200959585978857,1.27882245108463
"citF",1.12268912354516,0.201285639883201,0.201285639883201,1.27789730094748
"allE",0.374863521605332,0.201319081436938,0.201319081436938,1.27780247521888
"yphD",0.654771020628841,0.201979426251939,0.201979426251939,1.27593237254262
"mscM",-0.285378310333873,0.202045308318428,0.202045308318428,-1.27574603859834
"leuL",0.625376969659406,0.202417534214902,0.202417534214902,1.27469410490935
"elaB",-0.517181743485126,0.202777490774439,0.202777490774439,-1.2736781849468
"hcaC",0.622838675272325,0.203243171248225,0.203243171248225,1.27236582334849
"mlrA",-0.673121485457781,0.20326154443722,0.20326154443722,-1.27231408970485
"ubiA",-0.379630050012023,0.203702671108528,0.203702671108528,-1.27107302411639
"rhaA",0.779029132422612,0.203788436517829,0.203788436517829,1.2708319589639
"ybjI",0.288620948717022,0.203788436517829,0.203788436517829,1.2708319589639
"ubiE",-0.14884366862113,0.203788436517829,0.203788436517829,-1.2708319589639
"frmA",0.141603432025821,0.203788436517829,0.203788436517829,1.2708319589639
"lpp",0.36335054661802,0.204036670557639,0.204036670557639,1.27013465092391
"rsmE",-0.160195600065594,0.204744305262777,0.204744305262777,-1.26815023376108
"yjbJ",0.478308727965827,0.205138414319128,0.205138414319128,1.26704719712092
"oppB",0.89435865953579,0.205147428660199,0.205147428660199,1.26702198571667
"argC",-0.931113874929987,0.205264284118688,0.205264284118688,-1.26669523599736
"murC",0.300644176744641,0.206049085803234,0.206049085803234,1.26450427911457
"lapB",0.168310677944591,0.206425425449845,0.206425425449845,1.26345578929602
