"","menF KO, rep 1","menF KO, rep 2","menF KO adapted 1, rep 1","menF KO adapted 1, rep 2","menF KO adapted 2, rep 1","menF KO adapted 2, rep 2","menF KO adapted 3, rep 1","menF KO adapted 3, rep 2","menF KO adapted 4, rep 1","menF KO adapted 4, rep 2"
"narY",6.99701769236673,6.42003050415225,6.47552959074997,6.79054396630449,6.69031406627131,6.56882965445652,6.56553669643169,7.09037028997331,5.86955391644904,6.34452159708398
"narZ",8.24620125801781,8.09469949160039,7.7874427675927,8.13409266999327,8.00096375192131,8.12066107506212,8.45776015008743,8.53899649118042,7.47485492828086,7.62757964972276
"ndh",10.0837335904359,10.1988787435963,10.8508099846528,10.8458225636546,10.4939738166597,10.4260639184281,10.0093317843444,10.2072443961786,10.3622342180248,11.4234723599233
"ndk",11.5282709379304,11.2385082015513,7.83714037563532,7.7938814730162,7.57181105437709,7.62162184897284,7.01642506346641,7.09995941789953,6.5343908671153,6.74717223733076
"nei",7.93339678048983,8.06575546220362,7.68936118474585,7.80299057688944,7.67627099557059,7.76352272235275,8.2622248303295,8.25663278736101,8.1121728833584,8.332002180429
"nemA",8.47748302949081,8.31973218952575,8.15376290337091,8.48455701965396,8.27085813994092,8.34347551811287,8.31674226645591,8.47066236067499,8.40169897099364,8.75027488530656
"nemR",6.45022584801277,6.39675598428629,5.9436841314804,5.4968423263476,5.85116078087563,5.82427286165601,5.78301958507989,6.02391913894723,5.60553015955098,5.67135863730193
"nepI",7.30255722291788,7.663609738884,6.23464440596547,6.67560807518671,6.83682787545155,6.46103331759472,6.77299481456211,6.83852203495752,6.61366405160412,6.37165639621388
"nfeF",8.82014155458471,8.72787724128427,8.4850080986811,8.73330049987875,8.54121273896493,8.63103036439239,7.84926725158929,7.77379576415035,6.96489046096994,7.61075439104405
"nfeR",8.22879425646445,8.23778773342926,8.28482482063929,8.11228578152709,8.35548752421541,8.22240704875184,7.76121655573856,7.66198838988117,8.06628307966535,7.85884737954112
"nfi",9.00779365893795,9.05297872738375,8.84188750102834,9.02139375981216,8.88047038495153,8.92910967892529,8.91173911930017,8.9033055042364,8.85446419127297,8.86805049958535
"nfo",9.40822934049619,9.21650525262489,9.86794184773625,9.84282041721235,9.90774785788383,10.0647402427172,10.0194744257551,10.0608786727284,9.55620631685194,9.79877873955455
"nfrA",8.28882007599204,8.24425934206909,8.51963239644522,8.3971128987834,8.11391680094293,8.20830466279642,8.19216383987298,8.11296047867401,8.61744349475125,8.58521807598749
"nfrB",7.04771494717351,7.15922212323489,7.02063987602952,7.16124759467759,7.17055360752494,7.03289192080723,6.82045629986608,7.01125168036614,6.72484978341461,6.98413917924775
"nfsA",9.26624033018424,9.2776849461491,8.95300328567638,8.93713049874602,8.68278032034854,8.60973741921875,8.2664925210096,8.25235335582054,8.38310872459301,8.41500559968771
"nfsB",10.8661944218934,10.7024002259612,10.7985345374046,10.8966267656614,10.7087071412176,10.8002379056947,10.7539305514424,10.6203351550629,10.7843844098439,10.9158638596737
"nfuA",11.8018545433086,11.5154091598281,10.4927317155677,10.5474373454487,9.69320464207967,9.78512649808387,9.16577097872461,9.46362040597099,9.39120791783214,11.824247694165
"nhaA",9.440700954345,9.58336058969872,9.56519793208122,9.47281411733425,9.41581188386029,9.32928313692923,9.31735948838662,9.33605691458926,9.06264186774941,9.28463352825445
"nhaB",10.2854310195645,10.432001738026,10.2669215543824,10.375190993899,10.2468101088262,10.24465391924,10.054422370629,10.0498329971284,9.9537881785919,9.79877873955455
"nhaR",8.85174238991192,8.69046677363534,8.39669401811748,8.58820715834294,8.55811368361781,8.53263264505726,8.55863000245336,8.58054295426926,8.36047908957029,8.72967499185766
"nhoA",6.10889780202959,6.42003050415225,6.69492846519676,6.69542022435264,6.69031406627131,6.36161398640758,6.74865774509115,7.02138419137456,6.50695024417292,6.57180385372971
"nikA",6.28988523062326,7.01479846897511,10.3136858874472,10.4319924927714,10.7256278444378,10.8615456513314,11.3076769614343,11.1323980275765,11.4576786739197,10.3863916056761
"nikB",4.71781395914052,5.82537381145253,7.58409463749919,7.33486570436277,8.2912228595186,8.47098626900777,9.34181833853412,9.16231093899021,8.76255227854643,7.9728902617516
"nikC",4.92278186074439,5.36778785505696,5.82300974621083,5.93138827133552,6.64324841876306,7.23245035818336,8.51626157884886,8.57370118581708,8.08020424913781,7.20989629291923
"nikD",4.96901971232398,5.31726520496379,6.03318552491838,5.62973445247342,6.45595283496154,6.56882965445652,8.41995270912666,8.48532024418175,7.86115841180168,7.38520677814452
"nikE",5.39005794987412,5.71507571866522,5.9436841314804,5.29621341375468,6.40026028830999,6.29121732238422,8.28343795301574,8.19553177451467,7.8930650523126,6.93978902482352
"nikR",7.37570272547995,7.15922212323489,7.67576317143018,7.73798095621591,7.63698744914031,7.59292947159826,7.97981738915142,8.16398086243166,8.09399209915287,7.9101430129413
"nimR",7.20777289918452,7.04487304395951,7.09421867860092,7.43211989105999,7.15948664620074,7.03289192080723,7.07619884741188,7.10948472558226,7.41010005530153,7.21733615849464
"nimT",5.85531005472622,6.02258245777285,5.51289904565335,5.24088707288097,5.67164933274753,5.34540036611554,5.5722071895299,5.8729882765833,5.99472730969758,5.62613701844768
"nirB",7.24296938205572,7.60440794258458,14.7374927367881,14.7158954591553,15.0872491604862,15.300381971425,15.5110371679952,15.2004298565677,15.7942852419103,14.4371342325788
"nirC",6.23799629939903,6.29961873782068,7.7874427675927,7.69946895685326,8.9493342048939,9.3614783318488,11.3251580039862,10.9674155805315,12.4264923383488,11.3545381511705
"nirD",4.71781395914052,4.08643273995149,8.80181926356101,8.93713049874602,9.8071137168605,10.1799376252864,11.4119284633703,11.2523386942111,11.560879681833,10.4213214979075
"nlpA",11.2647931471999,11.2032637420534,11.9323091904471,12.0302701804898,11.9406537563173,12.0232484536014,11.2925974225606,11.3095376701518,10.9701147724587,10.9563057745217
"nlpC",10.0764589934006,9.98387262893507,10.2337237336868,10.3782369655287,10.216539074465,10.3500225952494,10.1590510221839,10.1509270332596,10.1234498769039,10.1855697337488
"nlpD",11.1307523215455,11.5915548197579,11.0598885611874,11.4962724639307,10.8872488685507,10.8853573712496,10.7682858903372,10.9977473042233,11.2198132745458,10.8422421596733
"nlpE",8.58397052910081,8.73248601355714,8.81426698545068,8.8432317848859,8.58722164604211,8.8221060747139,8.49823370462983,8.64723154700887,8.8381829166377,9.03683765710043
"nlpI",12.4723206195184,12.2859925908477,12.8916196576865,12.906159590781,12.7997826684955,12.8289878181743,12.673505515367,12.6649918455763,13.363204554057,13.4506509536121
"nmpC",13.4550062105755,13.7642661479718,13.5660447585021,13.7570140951335,13.9186083963913,13.9769269732763,14.4446741244628,14.2899892560133,15.0584183933621,14.3437857944428
"nnr",9.65772718415904,9.59099189948546,10.0058804228784,9.92009761546051,9.77676496822712,9.87707248904551,9.70445018053741,9.68602627812109,9.21540640480633,9.4369113368846
"nohA",4.82468949714951,4.7409075580374,5.06450082183861,5.24088707288097,4.66388158988493,5.19296052973341,5.21472285760577,5.21104853699188,5.55149813935362,5.48062274928333
"nohD",4.23309864497833,4.22981826521331,4.8182556365252,4.58760478740007,4.51272012645753,4.8725652395762,4.23264014837379,4.53294796868731,5.09538130326135,4.98923549031224
"norR",7.47518040006529,8.02121818473805,8.046992384042,8.06765544672955,7.8917919600205,7.57102782925824,7.614776388574,7.29614310062708,7.39530456353033,7.22473759506217
"norV",6.58046606369346,6.27425094560642,6.34295360632956,6.15026381772827,6.47404010609215,6.61263231587753,6.32244390171442,6.60186315351323,6.54791451021298,6.39827932890228
"norW",5.45388640996513,6.29961873782068,5.7451820548843,5.71159831431441,6.12971159756394,5.63521405014738,6.06875515344268,6.10333804898216,5.86955391644904,6.00529417293071
"npr",7.39146297597178,7.01479846897511,7.20270363620732,6.87971337297036,6.89146163124669,7.2417341880545,7.22437164855646,7.24524636390091,6.65170033839084,7.10146458472111
