"","menF/ubiC KO, rep 1","menF/ubiC KO, rep 2","menF/ubiC KO adapted 1, rep 1","menF/ubiC KO adapted 1, rep 2","menF/ubiC KO adapted 2, rep 1","menF/ubiC KO adapted 2, rep 2","menF/ubiC KO adapted 3, rep 1","menF/ubiC KO adapted 3, rep 2","menF/ubiC KO adapted 4, rep 1","menF/ubiC KO adapted 4, rep 2"
"yehA",3.8459699320347,3.97734787442697,4.18520196001309,4.59593185531889,3.13232336809183,2.97923305342702,2.81810416470387,3.62090890251945,3.16610909730125,2.23612666960443
"yehB",5.06227623114171,4.51764407906147,6.20228346556329,6.40405853547895,5.8114351244915,5.96360899724476,4.95833678691045,5.1808253858187,5.72434760483904,5.73596774493559
"yehC",0.943056417305007,0.943056417305007,4.94882476038271,5.17379651603714,4.64829690495971,4.55634754327752,2.50645023864427,2.07742360698727,4.34280486389792,4.50239492128211
"yehD",0.943056417305007,1.96790512907308,7.80743781729974,7.89394776677857,7.53565740326268,7.59405088657147,3.45560316065251,3.62090890251945,6.51882334639878,6.52539297054084
"yehE",8.61924504676624,8.57820641058662,7.74357138587,7.63683307391329,8.4431131798735,8.31549924038696,7.13579037355517,7.32386638859991,7.2618833190046,7.42788965085136
"yehF",4.85288677226216,4.75365499105925,4.10517978413056,3.46731126933585,3.94140653951829,3.65186246678045,4.63461473624718,4.64192671173821,3.79416287730071,4.55435081058478
"yehI",6.46496031649089,6.53657689520083,6.69650736388314,6.85765340806819,6.87189048645763,6.48347852297959,6.82354244300896,6.05195226367628,5.94460001101751,5.82277813108028
"yehL",3.93493715279537,3.77527031484525,4.02033059610405,3.31386600389199,2.69639819531389,3.65186246678045,4.39797784071824,5.02271383709192,4.55358228397704,4.8316591601365
"yehM",4.31080601529956,4.95613230499902,4.94882476038271,4.59593185531889,5.28637426629761,4.76325386784338,5.06976493152537,4.9066975738231,4.89974843683339,5.35386214217014
"yehP",4.09751151654619,3.87996730058104,4.10517978413056,3.14050859378902,4.21816792634979,4.0217862907734,4.39797784071824,4.22194190868172,4.86079540636995,4.2095775574352
"yehQ",5.52457021334954,5.25344487812471,4.94882476038271,4.77803487001882,5.57273959491737,5.02639240178396,5.26958492221082,5.41087598808311,4.86079540636995,5.84368657835987
"yehR",3.53864293078942,3.97734787442697,3.83345879424557,4.14207682088467,3.94140653951829,4.0217862907734,4.39797784071824,3.89304049286354,4.97461084784509,4.2095775574352
"yehS",7.71882365430229,7.68765134707868,8.28672039357826,8.503681846859,8.24385411881556,8.05184013064793,7.71625270416654,7.87830295697674,7.97541323747887,7.89118752311093
"yehW",6.74457321215121,6.55222068431435,6.55479589756082,6.62516311403933,7.18974616595073,7.2366962417857,5.01513401260599,5.8475005370517,5.35653518588654,5.49282385881058
"yehX",6.94746292674964,6.99142876140277,6.94394496368675,7.19157512624815,7.5685294751518,7.33668557850202,5.67343722020544,6.05195226367628,5.51511636210426,5.61952774585293
"yehY",7.33271132234035,6.90879223274437,7.24085674294852,7.13733927670512,7.61647423181339,7.69168946206375,6.46563649414977,6.34643729110244,6.28965412753021,5.82277813108028
