"Gene","logFC","adj.P.Val"
"fadE",-1.32650064034142,0.00590911036487186
"ycgR",-1.35023502639364,0.00597275011124722
"pqqL",-1.04536949624085,0.00600250340804822
"guaA",-1.04502185186784,0.00631544799560477
"insI2",-1.28761669124535,0.00633920485648615
"glnK",-2.0491956902471,0.00639200313773425
"puuC",-1.98841309011484,0.00845453319085855
"acnA",-1.22448617868571,0.00941010319669222
"ugpC",-1.02579645771898,0.00960948999742041
"ais",-1.07620953113194,0.00970962928951712
"argI",-1.26443830984464,0.00989161739551483
"emrK",-1.17212868263615,0.0103304986607412
"ydiJ",-1.48296278066449,0.0105712331646674
"ydeJ",-1.00040696793693,0.0108049924862448
"hdeD",-1.28201069781082,0.0108116096059101
"bioC",-1.3343795467761,0.0112851247370075
"opgH",-1.07720156715663,0.0113417150983188
"yciF",-1.58623024591385,0.0121949155613624
"ypjF",-1.29116880565274,0.0122224066073954
"acnB",-1.34634165837774,0.0151099282954328
"ybaY",-1.56452063610353,0.015430561747405
"prpR",-1.66429466786409,0.0157102920565443
"bioA",-1.28215288909323,0.0159160786590682
"fliL",-1.07399085091768,0.0192504384694839
"puuB",-1.73053445082448,0.0200804194478468
"fliF",-1.0737905154071,0.020819099623566
"fliA",-1.16364331976021,0.0223940845343717
"yceJ",-1.06411940446353,0.023542597345791
"yncE",-1.79377164511865,0.0244815594529236
"iscR",-1.70949822391547,0.0269918561662605
"yohO",-1.4673061881794,0.0276199745401512
"ilvC",-1.5438619191817,0.0279032885988164
"purL",-1.91789715415772,0.0280272223119634
"potG",-1.2843272686483,0.0287952735410757
"groS",-1.27992981673747,0.0334882846696892
"puuE",-1.53833789318319,0.0358694123424695
"rpsJ",-1.03842043969917,0.03745464208215
"yddA",-1.33794285404927,0.0389801047251954
"bioD",-1.0828042284232,0.0398399383123223
"ybiJ",-1.07993612956491,0.0401345096286688
"carB",-2.15451517266732,0.0450730878857454
"argA",-1.19188049969271,0.0464628162350251
"aceK",-1.3687320532813,0.0480550651486292
"thrL",-1.13824197656136,0.0488118064294235
