"Gene","logFC","adj.P.Val","P","SignedZ"
"yiiR",0.126758555795601,0.847547998897863,0.847547998897863,0.192247935673237
"macB",-0.092229877817518,0.847547998897863,0.847547998897863,-0.192247935673237
"flgL",0.0822629725742178,0.847547998897863,0.847547998897863,0.192247935673237
"lolD",0.131937196258374,0.847773732557595,0.847773732557595,0.191959751689989
"yhcA",-0.29332181551284,0.847867789492911,0.847867789492911,-0.191839678148924
"ydhU",0.170538721701359,0.847867789492911,0.847867789492911,0.191839678148924
"yigA",-0.139689806801499,0.847867789492911,0.847867789492911,-0.191839678148924
"xerC",-0.178341904745744,0.848019071676947,0.848019071676947,-0.191646556378085
"spoT",-0.142085196192905,0.848019071676947,0.848019071676947,-0.191646556378085
"eutB",-0.106126280502415,0.848019071676947,0.848019071676947,-0.191646556378085
"ptsP",-0.105285819708221,0.84813556890603,0.84813556890603,-0.19149784478764
"znuB",-0.0782133443232019,0.84813556890603,0.84813556890603,-0.19149784478764
"gshB",0.116884764462136,0.848170935926974,0.848170935926974,0.191452698749972
"nfrB",0.112795330403974,0.849239925120812,0.849239925120812,0.190088316661074
"skp",-0.101709685016465,0.849239925120812,0.849239925120812,-0.190088316661074
"xdhD",-0.0834974847087914,0.849303459940407,0.849303459940407,-0.190007236482235
"ybhS",-0.176584359042867,0.849375971110502,0.849375971110502,-0.189914702629023
"kdpB",-0.099591906397204,0.849388298302439,0.849388298302439,-0.18989897166179
"ykgA",-0.160581173326547,0.849389744654963,0.849389744654963,-0.189897125946536
"comR",0.118964020890545,0.849389744654963,0.849389744654963,0.189897125946536
"rcsC",-0.127853730185295,0.849421826211985,0.849421826211985,-0.189856186287885
"clsB",0.222872674290126,0.84984660056333,0.84984660056333,0.189314156627999
"hofC",-0.115597595388887,0.850257970733124,0.850257970733124,-0.188789284269797
"frvX",-0.116994243835955,0.850594535815661,0.850594535815661,-0.188359895346814
"yphG",-0.1127466986383,0.850594535815661,0.850594535815661,-0.188359895346814
"ykfI",0.27644145124149,0.850642428247358,0.850642428247358,0.188298797121882
"rplB",-0.258876964145669,0.850674378032657,0.850674378032657,-0.188258037937624
"yraH",0.1642158067513,0.850674378032657,0.850674378032657,0.188258037937624
"yraJ",0.102330687574753,0.850674378032657,0.850674378032657,0.188258037937624
"hinT",0.105629685267705,0.851838861382025,0.851838861382025,0.186772688644546
"ybjH",0.0996181992314807,0.851838861382025,0.851838861382025,0.186772688644546
"mscM",-0.0857874944416856,0.851838861382025,0.851838861382025,-0.186772688644546
"ispH",0.0582744061308251,0.851838861382025,0.851838861382025,0.186772688644546
"mdtJ",-0.270965826825152,0.852589740419437,0.852589740419437,-0.185815128369228
"emrD",0.195027719825506,0.852589740419437,0.852589740419437,0.185815128369228
"ygfT",-0.169288801018288,0.852589740419437,0.852589740419437,-0.185815128369228
"yegU",0.139702421607502,0.852589740419437,0.852589740419437,0.185815128369228
"asnC",0.103105784285026,0.852589740419437,0.852589740419437,0.185815128369228
"eutC",-0.0924368227394233,0.852589740419437,0.852589740419437,-0.185815128369228
"cmoM",0.0762255721633916,0.852589740419437,0.852589740419437,0.185815128369228
"rtcB",-0.106117587487625,0.852602486737205,0.852602486737205,-0.185798875070271
"yejA",-0.104805373307059,0.852872702115204,0.852872702115204,-0.185454325037799
"ycjR",0.151967361045886,0.852966853566394,0.852966853566394,0.185334278252374
"ansA",-0.10544039363447,0.85297772432795,0.85297772432795,-0.185320417777926
"deoB",0.129688596132886,0.853049341975399,0.853049341975399,0.185229104497349
"rplU",-0.125884821593833,0.853049341975399,0.853049341975399,-0.185229104497349
"bamA",-0.0879855823026394,0.853049341975399,0.853049341975399,-0.185229104497349
"aroK",-0.0828987872253275,0.853049341975399,0.853049341975399,-0.185229104497349
"ydiY",0.26015632166201,0.853466841796883,0.853466841796883,0.184696818395984
"menE",-0.201686373790211,0.853466841796883,0.853466841796883,-0.184696818395984
"rpoS",-0.188486344161249,0.853466841796883,0.853466841796883,-0.184696818395984
"mliC",0.102972389812016,0.853466841796883,0.853466841796883,0.184696818395984
"yhfK",-0.161603170967645,0.854345056861184,0.854345056861184,-0.183577319841529
"tig",-0.212720426037905,0.855363800220866,0.855363800220866,-0.182278971901082
"yhfW",0.17911717143073,0.855363800220866,0.855363800220866,0.182278971901082
"rplE",-0.167980742121669,0.855363800220866,0.855363800220866,-0.182278971901082
"sgcR",-0.0806860969015643,0.855546946413517,0.855546946413517,-0.182045591999613
"bamE",-0.0745496771163605,0.855546946413517,0.855546946413517,-0.182045591999613
"rsmI",0.0556558418925273,0.855546946413517,0.855546946413517,0.182045591999613
"hisJ",-0.162582876339595,0.85570192547078,0.85570192547078,-0.181848112717901
"ydcF",0.0772311394244497,0.85593741985775,0.85593741985775,0.181548051794671
"radA",0.0753168949343688,0.85593741985775,0.85593741985775,0.181548051794671
"trpR",0.0551838854089325,0.85593741985775,0.85593741985775,0.181548051794671
"dkgA",0.25876127612931,0.855986708455979,0.855986708455979,0.181485251593222
