"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"puuC",-1.08880761355242,7.57523825449107,-7.03903552003292,1.4711939712416e-07,1.77564939029021e-05,7.49669792594282
"lhgD",-1.80173747679275,7.11208088165003,-6.66846251631114,3.77620358176305e-07,4.10190114069012e-05,6.57594724514764
"csgG",-1.23262476844285,6.48089895879464,-6.64749779048493,3.9848905121431e-07,4.22301201835653e-05,6.52338634212594
"csgD",-1.95292571440696,5.84647997225604,-6.52255279863541,5.49628060944991e-07,5.5537998251302e-05,6.20914583406993
"flgC",-1.30581981731365,8.06000192650871,-6.39842600131599,7.5772319796468e-07,7.00490913863093e-05,5.89534081373862
"b0309",-1.07777248773504,3.92838436117479,-6.36263872602594,8.31456601030906e-07,7.52641444058185e-05,5.80457821811099
"ydcS",-1.21083440263354,6.3610270162564,-5.99340432823134,2.18278674062447e-06,0.000171569788244509,4.86122352680925
"yciF",-1.37664036289701,6.95594390575969,-5.98069181411753,2.25702721388505e-06,0.000172048828847905,4.82853777954252
"puuA",-1.10585027738751,7.81525717664367,-5.78888785833915,3.7443237500011e-06,0.000246501313541739,4.33393238523293
"b0359",-1.3368718878986,4.23435795619993,-5.72476956431519,4.43741110664232e-06,0.00027942827910668,4.16803209696553
"otsB",-1.88831124786254,7.77727097069172,-5.71865430834697,4.50993903218597e-06,0.000279938358497829,4.15219609341685
"talA",-2.10706205837591,7.78823740725991,-5.65200035943719,5.38252227749346e-06,0.000320370675283686,3.97944712499585
"paoA",-1.03064643668479,6.21530632149888,-5.62561715611169,5.77332361641239e-06,0.000334467881510824,3.91099984817257
"glaH",-1.1321897391626,6.84698740953155,-5.54544757027296,7.14557805366765e-06,0.000381440146869216,3.70278988480328
"gabT",-1.63593588096767,7.8895839624641,-5.53366111428904,7.3733854854514e-06,0.000385992288364896,3.6721525656726
"dgcM",-1.23388461632063,6.73947894803346,-5.44725921350477,9.28285751517225e-06,0.000469000184923528,3.44737538956841
"aceB",-1.54923947427602,10.7799601577446,-5.25350742713081,1.55786210280025e-05,0.000651725494136078,2.94235395020981
"flgG",-1.08710070368758,6.96870335802596,-5.25300902988283,1.559941343847e-05,0.000651725494136078,2.94105353320536
"yahK",-1.18477138432813,7.2739072073107,-5.24941788594986,1.57500575860351e-05,0.000651752382964975,2.93168337245186
