"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"ompX",1.51491957845196,11.2710617047708,5.20633225154586,1.76756163736209e-05,0.000704592230673236,2.8192427400388,0.000704592230673236,3.38778597061373
"gabD",-1.2217162441485,7.3390871840999,-5.17254225944051,1.93498755761391e-05,0.000764320085257496,2.73103876444576,0.000764320085257496,-3.36540273744776
"mak",-0.572499569282364,7.71916712196784,-5.14902532485479,2.06082564304025e-05,0.000805890740223232,2.66964187224555,0.000805890740223232,-3.35076357834964
"chbC",-0.520465351178088,5.8035606928422,-5.14496788746938,2.08335347239889e-05,0.000805890740223232,2.65904825349475,0.000805890740223232,-3.35076357834964
"ccmB",-0.547824073728075,7.19262608400229,-5.14273213584623,2.09587235086824e-05,0.000805890740223232,2.65321082380552,0.000805890740223232,-3.35076357834964
"ykgF",-0.577009930819805,6.96946337574732,-5.12417443017486,2.20274236184078e-05,0.00083955399668405,2.60475573329041,0.00083955399668405,-3.33941380816486
"citX",-0.523189801524152,7.01689380410299,-5.11755767137991,2.24215553640825e-05,0.00084714485266903,2.58747830635631,0.00084714485266903,-3.33691292203905
"rdcA",-1.00730962206116,6.38024156458515,-5.11120473486148,2.28066303680761e-05,0.000854265594390438,2.57088944011236,0.000854265594390438,-3.33458574145557
"ddpX",-0.950120323518528,6.54706143591453,-5.10172117247371,2.33938467498619e-05,0.000868771488274788,2.54612531663967,0.000868771488274788,-3.32990009771966
"mngB",-0.739532897853629,6.3395952571241,-5.08945363890044,2.41760061303315e-05,0.000890209717256699,2.5140906901688,0.000890209717256699,-3.32310633952994
"mhpT",-0.566475603703734,6.98555317947958,-5.07227991107446,2.53152466876464e-05,0.000924325603847257,2.46924316636672,0.000924325603847257,-3.31260155705963
"gatZ",-1.33230946575479,11.6093720861322,-5.06435404636942,2.58590286323926e-05,0.000933399402628724,2.44854520440769,0.000933399402628724,-3.30986811390004
"djlC",-0.734715866381905,5.70782242462075,-5.06242126454908,2.59934010858632e-05,0.000933399402628724,2.44349782747314,0.000933399402628724,-3.30986811390004
"menH",-0.588706733758322,6.10321193661856,-5.05850333560609,2.62679387756386e-05,0.000935526180165161,2.43326630185092,0.000935526180165161,-3.30923099375446
"btuD",-0.548368508893931,6.92191181120722,-5.04408936993355,2.73032204064345e-05,0.00096449181029234,2.39562460909463,0.00096449181029234,-3.30068477322803
"ygeY",-0.577031503714868,6.29090466052999,-5.03462588915498,2.80050834651686e-05,0.000975801586121009,2.37091095554428,0.000975801586121009,-3.29741225534825
"astA",-0.640552046263149,7.11671120153783,-5.03372886792536,2.8072542753769e-05,0.000975801586121009,2.36856840932142,0.000975801586121009,-3.29741225534825
"dosP",-0.903105983233722,5.65923889750153,-5.02575111903836,2.86797111038797e-05,0.000988994799574263,2.34773478623158,0.000988994799574263,-3.29363885279843
"b0362",-0.715827510853879,6.97944266255235,-5.01468960573043,2.95434183080802e-05,0.00101075710668195,2.31884823611048,0.00101075710668195,-3.28751526085443
"rhsC",-0.621150994048344,6.83924512093425,-5.00263436325447,3.05144337104309e-05,0.00103582198806111,2.28736706520152,0.00103582198806111,-3.28061181270746
"ubiA",0.716699207306418,7.53532832985838,4.99081266584297,3.14976908154983e-05,0.00106091059374682,2.25649641305028,0.00106091059374682,3.27385493687973
"ynbB",-0.839305552193249,4.5240386960231,-4.98304507630942,3.21609712745147e-05,0.00107440917155989,2.23621290952305,0.00107440917155989,-3.2702804247743
"fliH",-0.685704788989673,6.75465304987372,-4.97896765015457,3.25147280060954e-05,0.00107440917155989,2.22556568674945,0.00107440917155989,-3.2702804247743
"sfmA",-0.620494193765312,4.86975749683599,-4.97753122136112,3.26402786296674e-05,0.00107440917155989,2.22181482462407,0.00107440917155989,-3.2702804247743
"valX",1.37255334444564,10.7421942730547,4.97145667457736,3.31766143462423e-05,0.0010758033318873,2.20595288845645,0.0010758033318873,3.26991361225469
"ydhV",-0.743128549807277,4.61045293964349,-4.97144308241445,3.31778242745452e-05,0.0010758033318873,2.20591739674436,0.0010758033318873,-3.26991361225469
"oxc",-0.533771889111019,6.32036168778491,-4.95646595427463,3.45382568055818e-05,0.00111162019126113,2.16681024018174,0.00111162019126113,-3.2606375926887
"ybiR",-0.545015808574627,6.80289344052923,-4.9520566144121,3.49493193517448e-05,0.00111287700368402,2.15529729940189,0.00111287700368402,-3.26031714266355
"recC",-0.542616672990787,6.49882007874832,-4.95056414238473,3.50895626017746e-05,0.00111287700368402,2.15140044712979,0.00111287700368402,-3.26031714266355
"tfaP",-0.76869967531067,6.06546127968213,-4.94777875577698,3.53528063214574e-05,0.001113101039614,2.14412785022287,0.001113101039614,-3.2602600552658
"b3840",0.796948319702496,7.46526543979583,4.93654385889002,3.64348312163715e-05,0.00113891612687147,2.11479459360216,0.00113891612687147,3.2537521180577
"wcaC",-0.628720427923137,7.08154253161312,-4.92929923533609,3.71500773180177e-05,0.00115297918533419,2.09588035613935,0.00115297918533419,-3.25026400531686
"flgL",-0.801943053575132,6.98286822988845,-4.91909199705084,3.81817342254223e-05,0.0011765931575139,2.06923248608092,0.0011765931575139,-3.24449443669748
"stfR",-0.6888166412336,6.78257505079621,-4.91180319830993,3.89359260468946e-05,0.00118564578047946,2.05020462354894,0.00118564578047946,-3.24231095817497
