"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"csgC",-1.14516271166667,8.3456910235,-5.45479995786986,0.000745375898605782,0.0124495522112371,-0.543636035487908
"betT",-1.19912894333334,11.1103724016667,-5.36242867305644,0.000827802515121411,0.0135047317292481,-0.656900356580268
"metF",-1.42036660233333,10.4254275255,-5.34216256897927,0.000847202863353755,0.0137678642928801,-0.681912581103767
"flhA",-1.29425460466667,10.788114361,-5.26882130212017,0.000921719258143319,0.0144233770056466,-0.772920054117385
"flxA",-2.38834608,13.35084219,-5.21926152778122,0.000976156107323605,0.0149405129299093,-0.834854334180235
"aroL",-1.12893495333334,12.0201590666667,-5.13995355644005,0.00107079076525726,0.0159178583032235,-0.934700913697133
"ygdI",-1.10144283766667,9.92395914116667,-5.12971402085325,0.00108372880998025,0.0159490019622617,-0.947658472706096
"holE",-1.16303212333334,8.474256198,-5.05474744912773,0.00118386519215698,0.0171233285009922,-1.04298758736061
"yafY",-1.21897980833333,10.1415767158333,-4.97887368224994,0.00129568013866711,0.0182391896443139,-1.14030240750048
"marA",-1.08319263966667,9.01320183716667,-4.96905322744576,0.00131098220041206,0.0183319736928052,-1.15295934720505
"oppF",-1.03257176,12.4395590766667,-4.95608189806733,0.00133149919393689,0.0185572188982794,-1.16969881884658
"fliN",-1.43547292,11.0980557266667,-4.8710452388774,0.00147506634888107,0.0199802465645816,-1.28004742583811
"dpaA",-1.00964447466667,10.680630766,-4.87033988198476,0.00147632613009857,0.0199802465645816,-1.28096716219439
"yaiA",-1.19048094,11.45537954,-4.82703219364059,0.00155598445991341,0.0207529756738218,-1.33757693291598
"marR",-1.02650975733333,9.54437831666667,-4.82333192824393,0.00156300624580696,0.0207529756738218,-1.34242648442787
"codB",-1.73182283266667,10.1266185636667,-4.80996780045913,0.00158865765127202,0.020812059834944,-1.35995815813023
"psiF",-1.01101375633333,8.67331519616667,-4.79621407655093,0.00161553997822411,0.0209224854410624,-1.37802824875857
"yfdH",-1.137999749,10.5810849421667,-4.78575929585611,0.00163630818193864,0.021061838341834,-1.39178262647162
"hdeA",-1.56318925466667,9.45093714766667,-4.76357052521151,0.00168136269348334,0.0214450168996103,-1.42102740067063
"yedP",-1.19336895566667,8.54342170083333,-4.74369209988138,0.001722882951584,0.0217577803389829,-1.44728843141897
"fxsA",-1.22684097466667,9.431816525,-4.70391700183756,0.00180937711040412,0.0222549165289945,-1.50000850179958
"avtA",-1.17712855,10.614397215,-4.70100778065087,0.00181588769216932,0.0222549165289945,-1.50387364175913
"fliE",-1.681818981,9.1152320345,-4.62810038461044,0.00198772549514628,0.0239038188830591,-1.60114204847102
"pqqU",-1.255014935,8.9733514045,-4.54515942790715,0.00220515606162762,0.0257105314775364,-1.71274242683235
"flhC",-1.09991714733334,9.59162296566667,-4.48662784810785,0.00237421106373718,0.0270814481497827,-1.79210344278277
"fliI",-1.28170441933333,10.4709915403333,-4.47306161938792,0.00241538347852901,0.0272672556738575,-1.81056865712299
"flhD",-1.24700745866667,10.2066455773333,-4.40635717793219,0.00262949308054991,0.028667024278206,-1.90174989342597
"hdeB",-1.68056485333333,9.86444743833333,-4.3990296194491,0.00265424781258122,0.028667024278206,-1.9118055559328
"yccJ",-1.020691682,9.46369944166667,-4.30774618680422,0.00298488246322629,0.0310206673770851,-2.03772351336558
"fliP",-1.203344509,9.23393166583333,-4.26212230735208,0.00316673747697289,0.0321951643492244,-2.10110602074177
"codA",-1.37400213666667,10.9452011883333,-3.9195350997278,0.00498631711559835,0.0429193856747642,-2.58635909240093
"lpxT",-1.686944494,10.7620247596667,-3.91952907232538,0.00498635770847225,0.0429193856747642,-2.58636777075857
"pyrB",-1.36766878333333,13.736375865,-3.8714583585357,0.00532174958298244,0.045033083385524,-2.65573326168952
"rpsT",-1.526250702,11.185230249,-3.80812694657698,0.00580130434791778,0.0470021667582467,-2.7475795067179
"cvrA",-1.03094063166667,10.5279612875,-3.79184706525566,0.00593197267397619,0.0475574723519348,-2.77127256354098
"dps",-1.03973841333334,12.8577574133333,-3.76612517282366,0.00614493469572512,0.0485867131267513,-2.80877554835461
"marB",-1.19360135,7.97731808633333,-3.73952746354678,0.00637383631057284,0.0495515308145585,-2.84764279776867
