"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"fliF",-1.23088966666667,11.6234941266667,-7.64717606748041,8.3452121901047e-05,0.0030811401849255,1.81894731462662,0.0030811401849255,-2.95952468286491
"trg",-1.069657498,8.82262635466667,-7.63065574216766,8.46800787309479e-05,0.00309929088155269,1.80324802372554,0.00309929088155269,-2.95771444398
"modC",-1.11557233566667,9.3531677825,-7.54646986596027,9.1259855492704e-05,0.00329802084601184,1.72280087349814,0.00329802084601184,-2.93850241880751
"b1417",-1.33466204333333,11.8853015083333,-7.54136327908348,9.16769871664019e-05,0.00329802084601184,1.71789699565864,0.00329802084601184,-2.93850241880751
"flgE",-1.21093571666667,14.0576536216667,-7.52317357422669,9.31802205395318e-05,0.00332369108687194,1.70040684132413,0.00332369108687194,-2.93609818050444
"ybaV",1.18690891333333,9.56122579133333,7.46781344921125,9.7927477248351e-05,0.00346367018267487,1.6469586945409,0.00346367018267487,2.92327808981748
"aceK",-0.880704024000002,9.94606733466667,-7.42584554362674,0.000101706582487131,0.00356735838073612,1.60622113787506,0.00356735838073612,-2.91408230751432
"yiaG",-1.61571236933334,8.434340895,-7.36996554681598,0.000106993814948118,0.00372179311666636,1.55168370227082,0.00372179311666636,-2.90082698260308
"fliJ",-1.44353669333334,11.18707053,-7.35358387907496,0.000108601490678579,0.00374675142841098,1.53563122949514,0.00374675142841098,-2.89873188110884
"yahK",-1.78718363333333,12.5026016566667,-7.28151229700139,0.000116002360814169,0.00396954420054339,1.46465859249823,0.00396954420054339,-2.88057188518289
"dcuC",0.824257697666664,7.88143249316667,7.25798406615629,0.000118539064473569,0.00400892497203282,1.44136513739092,0.00400892497203282,2.87745861029008
"flgI",-1.41049203166667,10.8274424341667,-7.25323906538146,0.000119058118675244,0.00400892497203282,1.4366600512394,0.00400892497203282,-2.87745861029008
"rplY",-1.40633544666667,13.1459697166667,-7.23920775607405,0.000120607905464933,0.00402887836588812,1.42273214306297,0.00402887836588812,-2.87589176435043
"adhP",-0.840747276666669,9.83576920833333,-7.21210170835265,0.000123666018704125,0.00409850608445404,1.39576378339224,0.00409850608445404,-2.87047885419121
"yobB",1.41692611866667,10.4132749073333,7.18276742190009,0.00012707341765572,0.00417177723333509,1.36648601510358,0.00417177723333509,2.86487208395552
"zraS",0.902098689666665,8.10725785716667,7.17612737982903,0.000127859173936856,0.00417177723333509,1.35984537893536,0.00417177723333509,2.86487208395552
"aer",-1.356181397,10.1378063081667,-7.15996772218073,0.000129794200748864,0.00420233685347669,1.34366357120579,0.00420233685347669,-2.86256000109346
"b1416",-1.35928053,11.7178908616667,-7.12630062630056,0.000133931515212047,0.00430318891242372,1.30985578528771,0.00430318891242372,-2.85503645567256
"yhaK",1.69966300833333,9.49014753116667,7.06600238636566,0.000141714514591941,0.00451876054482938,1.24898443430299,0.00451876054482938,2.83947662645131
