#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0098777	Protein secretion by the type VIII secretion system	3	3	1.58	0.39	0.0443	511145.b1037,511145.b1038,511145.b1039	csgG,csgF,csgE
GO Process	GO:1901875	Positive regulation of post-translational protein modification	3	3	1.58	0.39	0.0443	511145.b1886,511145.b1887,511145.b1888	tar,cheW,cheA
GO Component	GO:0009288	Bacterial-type flagellum	17	33	1.29	2.59	4.44e-13	511145.b1073,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1082,511145.b1881,511145.b1882,511145.b1889,511145.b1890,511145.b1923,511145.b1924,511145.b1938,511145.b1940,511145.b1943,511145.b1944	flgB,flgE,flgF,flgG,flgH,flgI,flgK,cheZ,cheY,motB,motA,fliC,fliD,fliF,fliH,fliK,fliL
GO Component	GO:0042995	Cell projection	18	70	0.99	1.69	5.52e-10	511145.b1042,511145.b1073,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1082,511145.b1881,511145.b1882,511145.b1889,511145.b1890,511145.b1923,511145.b1924,511145.b1938,511145.b1940,511145.b1943,511145.b1944	csgA,flgB,flgE,flgF,flgG,flgH,flgI,flgK,cheZ,cheY,motB,motA,fliC,fliD,fliF,fliH,fliK,fliL
GO Component	GO:0009425	Bacterial-type flagellum basal body	12	26	1.24	1.84	8.16e-09	511145.b1073,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1882,511145.b1889,511145.b1890,511145.b1938,511145.b1940,511145.b1944	flgB,flgE,flgF,flgG,flgH,flgI,cheY,motB,motA,fliF,fliH,fliL
GO Component	GO:0043228	Non-membrane-bounded organelle	20	161	0.67	0.95	1.61e-06	511145.b0023,511145.b1073,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1082,511145.b1237,511145.b1881,511145.b1882,511145.b1889,511145.b1890,511145.b1923,511145.b1924,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b4109	rpsT,flgB,flgE,flgF,flgG,flgH,flgI,flgK,hns,cheZ,cheY,motB,motA,fliC,fliD,fliF,fliH,fliK,fliL,crfC
GO Component	GO:0030694	Bacterial-type flagellum basal body, rod	5	7	1.43	0.92	0.00042	511145.b1073,511145.b1077,511145.b1078,511145.b1079,511145.b1080	flgB,flgF,flgG,flgH,flgI
GO Component	GO:0098561	Methyl accepting chemotaxis protein complex	5	7	1.43	0.92	0.00042	511145.b1881,511145.b1886,511145.b1887,511145.b1888,511145.b4355	cheZ,tar,cheW,cheA,tsr
GO Component	GO:0009424	Bacterial-type flagellum hook	4	5	1.48	0.75	0.0021	511145.b1076,511145.b1082,511145.b1924,511145.b1943	flgE,flgK,fliD,fliK
GO Component	GO:0110165	Cellular anatomical entity	94	2904	0.09	0.32	0.0034	511145.b0023,511145.b0030,511145.b0336,511145.b0381,511145.b0450,511145.b0453,511145.b0469,511145.b0523,511145.b0760,511145.b0871,511145.b0897,511145.b0929,511145.b1037,511145.b1038,511145.b1039,511145.b1040,511145.b1042,511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1096,511145.b1101,511145.b1237,511145.b1431,511145.b1490,511145.b1492,511145.b1661,511145.b1709,511145.b1732,511145.b1761,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1902,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b1967,511145.b2000,511145.b2013,511145.b2042,511145.b2095,511145.b2097,511145.b2147,511145.b2149,511145.b2156,511145.b2370,511145.b2378,511145.b2424,511145.b2425,511145.b2464,511145.b2465,511145.b2574,511145.b2670,511145.b2684,511145.b2733,511145.b2905,511145.b2924,511145.b2937,511145.b3011,511145.b3151,511145.b3403,511145.b3415,511145.b3572,511145.b3750,511145.b3902,511145.b3922,511145.b3923,511145.b3929,511145.b4014,511145.b4016,511145.b4033,511145.b4034,511145.b4109,511145.b4139,511145.b4142,511145.b4355	rpsT,rihC,codB,ddlA,glnK,ybaY,apt,purE,modF,poxB,ycaC,ompF,csgG,csgF,csgE,csgD,csgA,flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,pabC,ptsG,hns,ydcL,dosC,gadC,cfa,btuD,katE,gdhA,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,ftnB,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL,hchA,flu,yeeE,wcaN,gatZ,fbaB,preA,mglA,lysP,evgS,lpxP,cysU,cysP,talA,tktB,nadB,alaE,mprA,mutS,gcvT,mscS,speB,yqhD,yraQ,pck,gntT,avtA,rbsC,rhaD,yiiS,uspD,rraA,aceB,aceK,malF,malE,crfC,aspA,groS,tsr
GO Component	GO:0005829	Cytosol	46	1066	0.21	0.35	0.0060	511145.b0023,511145.b0030,511145.b0381,511145.b0450,511145.b0469,511145.b0523,511145.b0871,511145.b0897,511145.b1075,511145.b1076,511145.b1096,511145.b1101,511145.b1237,511145.b1661,511145.b1732,511145.b1761,511145.b1881,511145.b1882,511145.b1883,511145.b1887,511145.b1888,511145.b1902,511145.b1922,511145.b1925,511145.b1938,511145.b1940,511145.b1967,511145.b2042,511145.b2097,511145.b2370,511145.b2464,511145.b2465,511145.b2574,511145.b2684,511145.b2733,511145.b2905,511145.b2937,511145.b3011,511145.b3403,511145.b3572,511145.b3902,511145.b3922,511145.b3923,511145.b3929,511145.b4139,511145.b4142	rpsT,rihC,ddlA,glnK,apt,purE,poxB,ycaC,flgD,flgE,pabC,ptsG,hns,cfa,katE,gdhA,cheZ,cheY,cheB,cheW,cheA,ftnB,fliA,fliS,fliF,fliH,hchA,wcaN,fbaB,evgS,talA,tktB,nadB,mprA,mutS,gcvT,speB,yqhD,pck,avtA,rhaD,yiiS,uspD,rraA,aspA,groS
GO Component	GO:0009426	Bacterial-type flagellum basal body, distal rod	3	3	1.58	0.57	0.0101	511145.b1078,511145.b1079,511145.b1080	flgG,flgH,flgI
GO Component	GO:0062155	Curli secretion complex	3	3	1.58	0.57	0.0101	511145.b1037,511145.b1038,511145.b1039	csgG,csgF,csgE
GO Component	GO:0005576	Extracellular region	4	15	1.01	0.4	0.0325	511145.b1082,511145.b1923,511145.b1924,511145.b2000	flgK,fliC,fliD,flu
GO Component	GO:0120100	Bacterial-type flagellum motor	3	6	1.28	0.42	0.0325	511145.b1882,511145.b1889,511145.b1890	cheY,motB,motA
STRING clusters	CL:2890	Flagellar assembly, and Chemotaxis	28	48	1.35	4.05	1.40e-23	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b4355	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL,tsr
STRING clusters	CL:2887	Flagellar assembly, and Chemotaxis	29	58	1.28	3.77	2.29e-23	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b4109,511145.b4355	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL,crfC,tsr
STRING clusters	CL:2886	Mixed, incl. Flagellar assembly, and GGDEF domain	31	95	1.09	2.9	7.75e-21	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1489,511145.b1490,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b4109,511145.b4355	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,dosP,dosC,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL,crfC,tsr
STRING clusters	CL:2891	Flagellar assembly	18	36	1.28	2.71	4.15e-14	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL
STRING clusters	CL:2892	Bacterial-type flagellum basal body	12	26	1.24	1.82	9.71e-09	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1938,511145.b1940,511145.b1943,511145.b1944	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,fliF,fliH,fliK,fliL
