Name,Score,FDR
fliE,0.04978568398197857,0.9687660302080368
hdeD,0.04997341839447102,0.9687660302080368
ilvG,0.05103668261562999,0.9687660302080368
yihT,0.05114071329955446,0.9687660302080368
gntR,0.05129149762839747,0.9687660302080368
cspE,0.0513743388412809,0.9687660302080368
insH10,0.05144844068122766,0.9687660302080368
alaC,0.05164792792754487,0.9687660302080368
yjbD,0.05209119772472583,0.9687660302080368
insF2,0.05222132740788212,0.9687660302080368
insH6,0.05230824627295907,0.9687660302080368
proP,0.052370247933884305,0.9687660302080368
ydiY,0.05291002459908021,0.9687660302080368
glyW,0.05298416565164433,0.9687660302080368
ushA,0.052987799019815006,0.9687660302080368
ygiS,0.05335164888035791,0.9687660302080368
ybiB,0.05394322748150781,0.9687660302080368
insB1,0.053971503895804844,0.9687660302080368
ppa,0.054237907917502326,0.9687660302080368
tcyN,0.054749214995494885,0.9687660302080368
insH7,0.05510065111559827,0.9687660302080368
slp,0.0551750365476197,0.9687660302080368
astA,0.05522052564718128,0.9687660302080368
yfeX,0.05585928273752298,0.9687660302080368
metZ,0.056029232643118154,0.9687660302080368
ynfO,0.056289488799540495,0.9687660302080368
rbsA,0.0564934386923506,0.9687660302080368
mdlB,0.05708165907011458,0.9687660302080368
bidA,0.05717492733240598,0.9687660302080368
proK,0.05724725943970766,0.9687660302080368
yoaC,0.05741626794258374,0.9687660302080368
pfkA,0.05746723485358844,0.9687660302080368
livJ,0.058006244260789715,0.9687660302080368
idi,0.058391003460207605,0.9687660302080368
dcuB,0.05853202402563815,0.9687660302080368
csqR,0.05865849306298755,0.9687660302080368
yghB,0.059178397223133734,0.9687660302080368
cnu,0.0592480414057935,0.9687660302080368
xylE,0.05945733988515016,0.9687660302080368
tktB,0.05954279638490165,0.9687660302080368
btuB,0.059612812682522005,0.9687660302080368
pdeL,0.06014692378328745,0.9687660302080368
argH,0.060489635363042825,0.9687660302080368
idnR,0.060606060606060615,0.9687660302080368
ynfN,0.06070006124161576,0.9687660302080368
yfhH,0.06070867244983906,0.9687660302080368
leuO,0.060782399003596554,0.9687660302080368
ompW,0.0612234520453795,0.9687660302080368
cspB,0.0614589316484779,0.9687660302080368
fruK,0.061606726312850434,0.9687660302080368
yciT,0.06176172618271551,0.9687660302080368
nuoJ,0.061783898219810035,0.9687660302080368
nikB,0.06190867166458205,0.9687660302080368
yehD,0.06197911415064094,0.9687660302080368
alaX,0.06211936662606577,0.9687660302080368
rsmG,0.06228713891255596,0.9687660302080368
metA,0.06256511292180764,0.9687660302080368
glyX,0.06272838002436053,0.9687660302080368
fucA,0.06407293675569818,0.9687660302080368
artM,0.06438207933379687,0.9687660302080368
ptsI,0.0644499668791067,0.9687660302080368
ydiH,0.0646429442169312,0.9687660302080368
aspV,0.06516443361753958,0.9687660302080368
ygeH,0.06516871935202327,0.9687660302080368
hycI,0.06530215227575951,0.9687660302080368
insH8,0.06530475131162083,0.9687660302080368
fbaB,0.06539074960127592,0.9687660302080368
mscS,0.06545138938876417,0.9687660302080368
fbp,0.06555113380433332,0.9687660302080368
insH11,0.06603918475274692,0.9687660302080368
iadA,0.06630218814845612,0.9687660302080368
yejG,0.06631718248593188,0.9687660302080368
dapB,0.06663898145826763,0.9687660302080368
ubiD,0.06713010148226095,0.9687660302080368
rutR,0.06730284664830122,0.9687660302080368
hslV,0.06744805235370656,0.9687660302080368
leuC,0.06761486616640998,0.9687660302080368
rutB,0.06768744615590758,0.9687660302080368
yqeB,0.06770492318112575,0.9687660302080368
cysW,0.06778903577036352,0.9687660302080368
insH-6,0.06787878787878789,0.9687660302080368
ybjX,0.06794587536995003,0.9687660302080368
insE3,0.06845590124361216,0.9687660302080368
otsB,0.0685805422647528,0.9687660302080368
yjfY,0.06899383983572897,0.9687660302080368
mltA,0.06903011856280769,0.9687660302080368
osmY,0.06911217437533228,0.9687660302080368
yfjP,0.06941434614659864,0.9687660302080368
yhfZ,0.06943996121717945,0.9687660302080368
fliI,0.06952544388178893,0.9687660302080368
dadX,0.06960042537454524,0.9687660302080368
fepG,0.0696793342322727,0.9687660302080368
osmF,0.06968888888888891,0.9687660302080368
lpcA,0.06969696969696972,0.9687660302080368
tusE,0.07034192876198425,0.9730902781299526
b3840,0.07069192156237833,0.9730902781299526
galP,0.0708349395009624,0.9730902781299526
yejE,0.07099391480730223,0.9730902781299526
guaC,0.0711220796393689,0.9730902781299526
yhiI,0.07147632959066169,0.9730902781299526
yicH,0.0715443010082013,0.9730902781299526
pppA,0.07206611570247932,0.9771900826446279
marR,0.07235578011018354,0.9772989172011987
ycgB,0.07283359914938863,0.9772989172011987
ygaZ,0.0729700048130546,0.9772989172011987
insI1,0.0731006160164271,0.9772989172011987
lamB,0.07331647158993528,0.9772989172011987
