Name,Score,FDR
eno,0.030070754716981125,0.8892687137748182
aroD,0.030237145731890933,0.8892687137748182
ybeT,0.030336662967073626,0.8892687137748182
b1005,0.03058143954898525,0.8905072165356831
b1367,0.031076581576026642,0.8950949190085902
yfcA,0.031146127497910913,0.8950949190085902
fliR,0.031369004632502084,0.8956461907085174
ymfQ,0.031816500184979654,0.8979036641887713
malG,0.031856486607561595,0.8979036641887713
flgN,0.03212991753597423,0.8998423401635586
ilvG,0.032388128759336395,0.9013329250303933
gntT,0.032950574138791815,0.9112180785425636
grpE,0.033251284343780954,0.9137868578725303
beeE,0.0340362560118387,0.9282446434272765
ugpB,0.03419959796115961,0.9282446434272765
efp,0.03473587276142913,0.9310339394499608
yfcG,0.034845859688128165,0.9310339394499608
hslU,0.0349648976964845,0.9310339394499608
dnaK,0.03551130783473104,0.9310339394499608
clpB,0.03564198087576033,0.9310339394499608
ddpX,0.035653014634893586,0.9310339394499608
hisI,0.03578456578736488,0.9310339394499608
ypjC,0.03686973641186559,0.9536248882527824
yoaA,0.03750465517655331,0.9643740866158181
ygeV,0.03896877079082369,0.9890065180383624
citC,0.03897151738396535,0.9890065180383624
aceA,0.03916848969386836,0.9890065180383624
nudE,0.039362324461385816,0.9890065180383624
lamB,0.039790787577774,0.9907025297319941
msyB,0.03997670809819278,0.9907025297319941
b1417,0.040182630837872886,0.9907025297319941
hxpA,0.0403310786495399,0.9907025297319941
csgC,0.040585843772564224,0.9914219725998049
glnG,0.04081367964252835,0.9914792783878295
gadB,0.04247870611844,1
fau,0.04285359043666872,1
fliN,0.0428580054317859,1
dbpA,0.043098010948329574,1
metF,0.043441189303591005,1
pyrI,0.043553738294883036,1
iraP,0.04368862901002597,1
ynbB,0.04402515723270441,1
trkG,0.04420417024109637,1
hcxA,0.04435299497027892,1
rssB,0.04455755077369334,1
opgC,0.04461464010679553,1
rimO,0.045315643509285554,1
btuE,0.0457646851717418,1
cspA,0.046103013214597456,1
yeaG,0.04621207142134965,1
cysN,0.046612466124661245,1
tcyL,0.04664207124421502,1
ydiZ,0.04706881734819443,1
ccmH,0.04714483256638292,1
flgC,0.047190088976822295,1
cytR,0.04760321734802869,1
gcd,0.04790413458796959,1
mlrA,0.048035995656984715,1
pgaA,0.048399985180439586,1
gpr,0.04891033875000246,1
thiB,0.049112250230007856,1
astA,0.05003921839067491,1
rnlA,0.05119453924914676,1
manX,0.0512799435603612,1
fliM,0.051365581353745124,1
yjiC,0.05169409742877915,1
ygiQ,0.05175756342634654,1
lon,0.051886792452830205,1
yrbL,0.05237383952830257,1
ompX,0.052482547126201644,1
uspE,0.05311653116531165,1
manY,0.053223121976321064,1
rutC,0.053237184975135535,1
rnc,0.053286858111948485,1
malK,0.05359673622811495,1
wrbA,0.05369243305193732,1
gadW,0.05389163090958775,1
phr,0.054051849569084785,1
yigB,0.05414658868298633,1
dgcM,0.05548945041319363,1
asnA,0.055665066722379766,1
inaA,0.05580660961581168,1
pck,0.05632543248470359,1
mnmG,0.05636782424285212,1
tehB,0.0564774402835219,1
moaB,0.057271966224635124,1
udp,0.05767176931292276,1
tam,0.05771200165898148,1
epmC,0.057809772985489685,1
yegP,0.05799370630216824,1
letB,0.05815522793965165,1
folK,0.05878407467307087,1
gmm,0.05992113445611751,1
yeeZ,0.06043073200655234,1
slyB,0.06085072534709864,1
rihA,0.06113424827633391,1
potE,0.06177784258894074,1
dtpD,0.06202286301965902,1
yibF,0.06203545316364874,1
sfmH,0.062441374549246864,1
fruK,0.0624669859502427,1
nudJ,0.06255521371409332,1
flhB,0.06307739800839736,1
moaC,0.06341502758988964,1
hsdS,0.0638200817561527,1
dkgA,0.06419316522650587,1
mqo,0.06494328404180702,1
crl,0.06530169858930722,1
mepA,0.06541819188320959,1
puuP,0.06550135007660847,1
yceK,0.06572217196287727,1
eutG,0.06593664852637687,1
mcbR,0.06599933348755324,1
puuB,0.06729316410174802,1
yfjS,0.06734436422500371,1
uraA,0.06769049662587591,1
deoD,0.06845841707278444,1
ygiW,0.06859291864948312,1
clsB,0.06862984061921389,1
ptrA,0.06926179493446954,1
modB,0.06972865713910414,1
cyaR,0.07012622720897616,1
tldE,0.07016509433962265,1
thiK,0.07064298798686494,1
yghU,0.07064770873588773,1
ggt,0.07090492868952179,1
omrB,0.07152875175315568,1
nanA,0.07182706883047095,1
rho,0.07236237610967863,1
purN,0.07249053882640678,1
b0374,0.07251202367739548,1
ygaM,0.07270840710263773,1
flhA,0.07314583958233463,1
ptsG,0.07318666972944148,1
sbmC,0.07471826228001106,1
deoB,0.07493937750753094,1
ydcH,0.07501932651282828,1
yhjG,0.07544415358689337,1
mhpB,0.07584165741768407,1
rluE,0.0760327952661276,1
b2978,0.07621134298238665,1
ftsK,0.07632810909831064,1
araH,0.07642276422764226,1
rnt,0.07655283614225764,1
cobC,0.07689921336202163,1
yihI,0.07731599347601877,1
yjiT,0.07737389125009417,1
xanP,0.07751198236475079,1
mngB,0.07913514148691622,1
ves,0.07919015779213313,1
plsX,0.0795076926592472,1
rarA,0.07954048651276925,1
citE,0.07954125046244913,1
insL2,0.07985374774538578,1
plaP,0.07987041632419771,1
csrA,0.080188679245283,1
soxS,0.08021962927211113,1
patZ,0.08043048229497639,1
yhdV,0.0813019784937887,1
adeQ,0.08130610086588673,1
leuD,0.0819112627986348,1
thiS,0.08243248074574601,1
ybgA,0.08263526289371048,1
ydjJ,0.08293664051221528,1
yqjC,0.08312822198494986,1
b2228,0.0832408435072142,1
ttcA,0.08438457460021014,1
luxS,0.0844395530566009,1
yagH,0.08484074000631607,1
yebK,0.08489152310091228,1
ispD,0.08506623688663079,1
yiaG,0.08512907404062586,1
prpC,0.085342166881443,1
evgA,0.0860183636535942,1
purH,0.0869674789721943,1
fliO,0.08701704165384397,1
ygaH,0.08721297333806675,1
upp,0.08760025344938696,1
efeU,0.0877914951989026,1
mrcA,0.08821653759167469,1
ynfT,0.08835904628330994,1
glpD,0.08890710262116172,1
hprS,0.08892751220323736,1
glaH,0.08920449832527781,1
ilvN,0.08934991327898045,1
yebF,0.08962756390135065,1
ydcT,0.09013858063309509,1
gatA,0.09120535405192472,1
yggE,0.09170317347184243,1
atpI,0.09218210478050144,1
ynaE,0.09269743040980077,1
chaC,0.09298103633447216,1
ilvC,0.09300286810805125,1
casC,0.0931267490777099,1
b2117,0.0932297447280799,1
yncD,0.09326788218793827,1
b2653,0.09358834383193802,1
b0626,0.09365057071021718,1
yfdQ,0.0942554769721139,1
gltF,0.09442160071753897,1
yegS,0.09484813027503307,1
hslJ,0.09514132330776139,1
aer,0.09612309622283044,1
qorA,0.09622687360518248,1
ydfZ,0.09632479999885893,1
ybiV,0.09647154406895031,1
yajR,0.09649319882552851,1
ycbK,0.09677419354838708,1
hda,0.09708381644284036,1
rpsT,0.09725709894396939,1
trmA,0.09768555116350602,1
brnQ,0.09817671809256662,1
b0395,0.09840917499075101,1
yjjG,0.0985901873409239,1
mutY,0.09860040560333835,1
nac,0.09866151371133017,1
ynfN,0.09887508008599265,1
rpsU,0.09900118890090476,1
ydcO,0.09951316002142535,1
pykF,0.09970937842227623,1
accD,0.09976735651821339,1
ymgE,0.10017096778368736,1
trxC,0.10021606774333326,1
insL3,0.10049449140001472,1
yafU,0.10062893081761005,1
yobD,0.10110933379368128,1
pdeI,0.10118038036829996,1
dmlA,0.10135501355013553,1
flxA,0.10137893182857159,1
b0332,0.10173880873103958,1
trhO,0.10203738146773252,1
mreD,0.10204472164654683,1
ribA,0.10238429172510517,1
gsk,0.10238810954176275,1
adhE,0.10242746529013887,1
bfd,0.10249367638038472,1
ispF,0.10252233213364384,1
fliI,0.10283763600729143,1
yoaE,0.10316912396291675,1
rpiA,0.10318396226415093,1
yobH,0.10333790580704161,1
eptB,0.1043341470717899,1
