"Name","Score","FDR","Direction","Studies","string_format"
"ybaY",0.000731848066406225,0.126652866630388,"Down",7,"b0453"
"fliS",0.000748913925947254,0.126652866630388,"Down",6,"b1925"
"csgA",0.000827376491910802,0.134739793886363,"Down",7,"b1042"
"dosP",0.000868310050017751,0.136355688926002,"Down",7,"b1489"
"katE",0.000931475557948344,0.141230966493064,"Down",7,"b1732"
"yciF",0.00112857923124039,0.155592525395657,"Down",7,"b1258"
"tap",0.00113088595488279,0.155592525395657,"Down",7,"b1885"
"btuD",0.00113235406246555,0.155592525395657,"Down",6,"b1709"
"ydcL",0.00126892483154133,0.169074620735977,"Down",7,"b1431"
"flgD",0.00151514071286114,0.19594334454266,"Down",7,"b1075"
"fliH",0.00163250198636745,0.201844350852262,"Down",6,"b1940"
"dosC",0.00165258053915884,0.201844350852262,"Down",7,"b1490"
"flgH",0.00184010893019042,0.216338496106528,"Down",7,"b1079"
"cheZ",0.00186965268411373,0.216338496106528,"Down",7,"b1881"
"cheW",0.00214074604207501,0.240529118945859,"Down",7,"b1887"
"flgG",0.0021881202542266,0.240529118945859,"Down",7,"b1078"
"yahK",0.00225520992482029,0.241857513156947,"Down",6,"b0325"
"flgF",0.00249897393664943,0.261618771415417,"Down",7,"b1077"
"poxB",0.00264710844123094,0.270682228281219,"Down",7,"b0871"
"aceK",0.00277972232675092,0.277782706152813,"Down",7,"b4016"
"otsA",0.00303198561008877,0.293289859123742,"Down",6,"b1896"
"yebV",0.0030683041891499,0.293289859123742,"Down",7,"b1836"
"groS",0.00332351817886096,0.310925732605354,"Down",7,"b4142"
"mscS",0.0035112167098662,0.321642080693368,"Down",7,"b2924"
"gadC",0.00367799675198127,0.330043912621667,"Down",7,"b1492"
"fliL",0.00385886155728703,0.339348285347822,"Down",7,"b1944"
"galF",0.00395715027915242,0.341168427008494,"Down",7,"b2042"
"gatZ",0.00485700586786939,0.402948203792863,"Down",7,"b2095"
"flgB",0.00549851530267453,0.438712649946698,"Down",7,"b1073"
"fliD",0.00561144413234855,0.438712649946698,"Down",7,"b1924"
"ydeI",0.00571565434153274,0.438712649946698,"Down",7,"b1536"
"lpxP",0.00583139412513352,0.438712649946698,"Down",7,"b2378"
"tsr",0.00590047622782199,0.438712649946698,"Down",7,"b4355"
"malE",0.00598652694946597,0.438712649946698,"Down",6,"b4034"
"yfcF",0.00630701375455765,0.446486301143499,"Down",7,"b2301"
"aceB",0.00630943541949732,0.446486301143499,"Down",7,"b4014"
"fbaB",0.00647175165888758,0.446486301143499,"Down",7,"b2097"
"uspD",0.00649877718289378,0.446486301143499,"Down",7,"b3923"
"evgS",0.00674219482275116,0.454448287542609,"Down",7,"b2370"
"puuD",0.00692900608286526,0.454448287542609,"Down",7,"b1298"
"yedL",0.00702808359174379,0.454448287542609,"Down",7,"b1932"
"modF",0.00731057471156587,0.465863724735581,"Down",7,"b0760"
"otsB",0.00758084272969956,0.475999401836623,"Down",6,"b1897"
"flgE",0.00810019474067107,0.493317922459452,"Down",7,"b1076"
"purE",0.00822292826358208,0.493317922459452,"Down",6,"b0523"
"hchA",0.00830237122174198,0.493317922459452,"Down",7,"b1967"
"yiiS",0.00866268608485543,0.4987033053384,"Down",7,"b3922"
"mprA",0.00866503879111101,0.4987033053384,"Down",7,"b2684"
"codB",0.00873326234047232,0.4987033053384,"Down",6,"b0336"
"tktB",0.00893106400705304,0.499674531520567,"Down",7,"b2465"
"malF",0.00897755014558217,0.499674531520567,"Down",7,"b4033"
"ybgS",0.00915157677290542,0.502993538380814,"Down",7,"b0753"
"adhP",0.00991667191717284,0.538316128639617,"Down",7,"b1478"
