"Gene","SignedZ"
"ybcW",5.48483130117351
"hypF",5.47168540492673
"ivy",-5.47116249827973
"yeiE",5.47076094220627
"msrC",-5.46686502218418
"nusB",-5.46064772998535
"tolR",-5.45709025341677
"yjjB",5.45640841226623
"yjiM",5.45446182556582
"ispF",-5.44679269794704
"mlaA",-5.44472003165108
"yebE",5.44061943501721
"entD",-5.43357543286385
"frdD",5.42677392187942
"glaH",-5.42235959425341
"prc",-5.42052980739178
"nupG",5.41793672859712
"galF",-5.41681573596587
"malI",5.41499896307736
"ugd",-5.38652046674042
"mnmC",-5.38585050573509
"yraQ",-5.38311262691005
"hisC",5.38115530842046
"rpsT",-5.37141454261535
"ppsR",-5.35998184559054
"ygaH",-5.34971762871986
"srlR",5.34547254821456
"srlE",5.34395279478148
"napC",5.34171610687571
"rlmN",-5.32377776824836
"mdtM",5.32180524651015
"endA",5.316778566714
"mltB",-5.3021212389662
"yobH",-5.29389192008983
"iprA",5.29207280279683
"lacI",-5.2909357148618
"fucO",5.28748602485248
"aphA",5.27902988908826
"ybaE",5.26653747165886
"rimO",-5.26224171065423
"rluE",-5.2537688959978
"srlA",5.25367248321041
"yajD",5.24445868969756
"pth",-5.24444463376083
"pck",5.24358045494245
"ybjS",-5.24309833492402
"maeA",-5.2245308933255
"ycgZ",-5.21006860659772
"gcvH",-5.20542409466139
"gmhA",5.19582047552451
"ybiV",-5.18769440158407
"cspG",5.1866186609117
"yhfK",-5.18297797160058
"gadC",-5.18295776135729
"dgkA",-5.17612539185783
"ydhY",5.17490962679599
"rraA",5.17336395240381
"yfdH",-5.16546002464949
"tyrP",-5.16073325907653
"cyuP",5.15640335958683
"yqeC",5.14556994166261
"feoA",5.14328663665237
"aegA",5.13159051812463
"lpxP",5.12381840189262
"hda",-5.11659571290764
"mltC",-5.11387237507142
"intZ",-5.1126371771581
"avtA",-5.11219409871749
"malT",5.10504879807665
"waaA",-5.09259936169864
"dosP",-5.0920680560875
"ymgA",-5.07890727278747
"nudC",-5.0767741444906
"intF",-5.07665741897223
"panB",5.07304872158065
"selA",5.06979741332502
"yjgH",-5.06868010163828
"rnpA",-5.06169478940606
"ybgS",-5.05167571987087
"dnaB",-5.04979355490093
"insB3",5.04056448109611
"napG",5.03902386959766
"patA",-5.0340753470798
"feaB",-5.03283423785735
"lit",-5.02010356442573
"mdtF",-5.01921968297955
"murA",-5.01335880583494
"pflA",5.01168596307083
"gcvP",-5.00623734874196
"adiY",4.99651110100399
"epmB",-4.99594623519407
"cirA",-4.99483056252762
"ybaK",-4.99126985059454
"serA",-4.98433184281159
"dacB",-4.97904185635733
"yibQ",-4.96997373953046
"codB",-4.96764267860065
"proS",-4.96666002165786
"uspE",4.96388541354037
"dhaM",4.96009086746431
"thiH",-4.95973115437097
"hsrA",4.95674194164405
"pdeF",4.95630897115246
"ybdZ",-4.95614034996262
"nrfB",4.95232984155307
"yfeC",4.94754795178234
"dcuA",4.93863113835387
"ycgJ",-4.93821774499644
"yebY",-4.93623493767717
"yihD",4.91797618863327
"yfgG",-4.91600063008669
"bioD",-4.91549169370343
"gadB",-4.90873564346369
"ccp",4.90395411355634
"mgsA",4.88901627063361
"bioA",-4.88818724232388
"bhsA",-4.88215669183561
"yajR",-4.87585831532098
"efeO",-4.86523576196808
"lrhA",4.86338948563547
"nanR",4.85894029772744
"ptrR",-4.84457737294866
"tqsA",4.8436117577368
"ghoS",4.84293731064424
"hybB",4.83958120384872
"yqhA",-4.82842880991149
"eno",4.82831625321023
"metC",-4.81182551239757
"bioF",-4.81146870811925
"yedF",4.79620319497493
"marA",-4.79377826893401
"mdtK",4.79155779187106
"hdeA",-4.77873577432309
"intR",-4.77132276538253
"purR",-4.76442629427916
"entE",-4.76361582419199
"hemC",4.7607767980298
"yeiB",-4.75945236975993
"sbcB",4.75931740654942
"dgcJ",-4.75455534911059
"puuA",-4.74936803590698
"pykA",4.74583481782451
"rarA",4.73829582491775
"nrdF",-4.73827923924256
"tyrA",-4.73803635086729
"rpmB",-4.73599645921842
"proX",-4.73412639340285
"glpX",4.72095237687193
"ribE",-4.71057339459533
"folK",-4.70537764347505
"gatD",4.69494313179707
"lnt",-4.68662430006403
"dmsC",4.6818007331911
"yehC",4.67748442926432
"bssS",4.67139013838054
"copA",4.65869666728804
"purC",-4.65356282812989
"ybfE",-4.64994217975219
"nfeF",-4.63482018404661
"yedE",4.63431930852522
"nikC",4.63057892859306
"ynfD",4.62510346669002
"yfcD",-4.62431967145275
"malX",4.61542016153475
"ppiB",-4.60978120251034
"mdfA",-4.59806469514988
"srlD",4.59770285649606
"mdtE",-4.59484972129867
"rsxC",-4.59248803521187
"napH",4.59125315186404
"yciA",-4.58994780512016
"mreB",-4.58590719532463
"ydcH",4.58226003974097
"rluC",-4.57834262914643
"bluR",-4.57780029421418
"bipA",-4.57762823430377
"insB5",4.57412084760704
"nepI",-4.57151883335049
"rnt",-4.56977617939359
"uxaC",4.56513556346907
"cnu",4.56101733230994
"yhdE",-4.55244247746029
"gabP",-4.54745668940499
"hdeB",-4.54632269372279
"iraD",4.54543044903093
"bioC",-4.54286517428875
"mnmA",-4.54224127747308
"gatZ",4.53852667628708
"thiC",-4.53838362864224
"tadA",-4.5306895222735
"yjbD",4.5201664238254
"nrdD",4.5119274315802
"prfA",4.5105407903661
"gcd",-4.50229408786999
"gadA",-4.49619516014552
"hemA",4.48949590249009
"hprS",-4.48587034264258
"lepA",-4.48470217288739
"yggT",-4.48260200662402
"aroF",-4.47545724512475
"hchA",-4.47444143948611
"pflB",4.47407131617991
"yfiC",-4.46692935063293
"ttcA",-4.46667061807245
"iscR",-4.46457786454254
"pdeG",-4.46413244800776
"nuoL",4.46370681098547
"yecF",-4.45914164660238
"yjiL",4.45909600835543
"thiE",-4.45775888341891
"lpxT",-4.45192086856399
"ydfG",4.45072314344093
"preT",4.44786742726175
"ybhB",-4.44654713056458
"yeiG",-4.43993287602911
"trmJ",4.42463550938766
"rlhA",-4.42089908460739
"thiM",-4.41951331406047
"rcsD",-4.41846824215139
"pcnB",-4.40935870777878
"cydB",4.40542961421977
"hsdM",-4.40516585132358
"dsbG",-4.40279006326777
"argT",-4.40095778404215
"yceM",4.39785061877289
"entF",-4.39708907516557
"recF",-4.39558105503335
"glpD",-4.39495720661494
"ybcV",4.38883211439133
"zntA",4.38132006730866
"garD",4.3810180175556
"appC",-4.36464021000838
"holD",-4.36305165659177
"dcp",-4.35963813598625
"recQ",-4.35854718750936
"ydjZ",4.35820520232196
"gnsB",-4.35752086177536
"uspA",4.35677602729174
"fdhF",4.35542854009364
"mocA",4.35279195964195
"thiG",-4.3508078290983
"solA",-4.35055984032077
"malK",4.34889754216952
"yidE",4.3486897837986
"uspG",4.34865815220827
"bcp",-4.34836736363669
"mglB",-4.3471273858082
"iap",-4.34602347977632
"mrp",4.34114452259017
"lgoR",4.33907156610149
"gapA",4.33866602465412
"ybaB",-4.33057931207554
"flk",-4.32958091947768
"ydhP",-4.32655127000502
"gadW",-4.32557211063896
"ptsI",4.32484439823972
"ydcY",4.32235035740783
"bamD",-4.31553411416442
"yhbW",-4.31294359547874
"zraS",4.31289024732742
"ompA",4.31191341436028
"yihV",4.31167033049344
"dtpA",4.306437792353
"tdcA",4.30182544310187
"yagN",-4.29768506741978
"frr",-4.29451654947188
"ygiN",4.29168669782555
"malF",4.28826176862638
"yeiP",-4.28363716347787
"fimH",-4.27640828849422
"ptsH",4.27601765532454
"frsA",4.27398159784815
"mepM",-4.27278766362504
"yhiD",-4.2711546480817
"nikD",4.26702531432889
"topA",-4.25272166174733
"yieH",-4.25152674737304
"cspA",4.24850689012588
"yqhD",4.24697595874099
"sufA",-4.24345409317553
"lipB",-4.23710064667447
"ugpC",-4.23590424105806
"rfaH",-4.23584201056938
"ybaL",-4.2290404082818
"lepB",-4.22617644270356
"marR",-4.22009773841697
"feaR",-4.21977713978856
"asnB",4.21201482096334
"napB",4.21123420500235
"pdeC",-4.19992408563615
"tusB",-4.19507955378448
"fbp",-4.19194274790508
"ygdR",4.18730081402326
"yigB",-4.18257038210852
"cyaY",-4.17920626519949
"msyB",-4.17739897247855
"proP",-4.1761576860186
"rlmF",-4.16629674486647
"deaD",4.15557118088589
"amn",-4.15206750719401
"ymjA",-4.1483342264249
"adhP",-4.14802546621985
"smg",4.14801282343895
"ubiX",-4.1466766098292
"purH",-4.14241989114299
"potB",-4.13678145483938
"leuD",4.13571955844892
"narH",4.1280280088604
"ispA",-4.12802064972979
"prpR",-4.12586801515989
"ddpX",-4.12582121788817
"yajG",-4.12383264526545
"rsmA",-4.12332885718065
"selO",-4.11345472791072
"hdeD",-4.10977276741461
"yidL",-4.10378799614778
"uhpA",-4.10364691026398
"nmpC",4.10314608283482
"ispD",-4.100622815666
"gltI",-4.09725292090237
"gpr",4.09406351816529
"thiQ",-4.0934620720844
"nfsA",-4.09223847207753
"deoD",-4.09087779819053
"kdgR",-4.08840927329355
"serS",4.08563775245361
"purA",4.08234974250906
"emrA",-4.08193083794475
"ilvN",-4.07888672041717
"moaA",4.07542615257431
"gatC",4.06900013753229
"upp",-4.06355754366195
"mtlA",4.05936651929604
"ung",4.053698228128
"potF",-4.04608920327443
"hxpA",4.04366102802473
"truD",-4.04054326638307
"hypE",4.03750540212746
"polA",4.037000589717
"kefC",-4.03504433175284
"mntH",-4.03312821212782
"yrdD",4.02441893460029
"casC",-4.02347458219139
"plaR",-4.02256124757664
"smrB",4.02171523515577
"rclA",-4.02093157009997
"nrfD",4.02092923807056
"lptD",-4.02075453949441
"malE",4.01263183618946
"rseC",-4.01207699274946
"btsS",4.0117253057721
"paaJ",-4.01120659096527
"blr",4.0073444965885
"yhhY",4.00335309065738
"yfhM",4.00153646332032
"rmuC",3.9976132916114
"asnS",-3.99680221306384
"rlmB",3.98847023046888
"lexA",3.98709891230966
"tsaD",-3.98201381788275
"udp",3.9793145264737
"galR",3.97897588818087
"moeB",3.97771867736805
"zapE",-3.97646780371497
"rsmC",-3.97435031420321
"ybiJ",-3.9729341937473
"yhhQ",-3.96738950970679
"torI",3.96195053259932
"rcsF",-3.95737581593983
"trmL",-3.95591614044955
"xseA",-3.94951870743202
"ychJ",-3.94938671327555
"yihI",-3.94844762038566
"yeaD",3.94724589469237
"fepA",-3.94348034905101
"yheO",-3.94231229192771
"thiF",-3.9384988334014
"yebZ",-3.93653547447844
"katG",3.93405587769584
"hisM",-3.93301364929789
"tolA",-3.93242785962382
"insL2",-3.93204515480545
"preA",3.93185295698005
"insB1",3.92856942189893
"soxS",-3.9261245999337
"rpmG",-3.92103631159209
"cobC",-3.91694474225191
"murJ",-3.91617917260658
"ydeJ",-3.90856250155427
"rsxB",-3.90515489917743
"thiS",-3.90382707847344
"yagE",3.90319876831219
"mutY",-3.90297628211261
"icd",-3.89340924260773
"yihU",3.88848111415934
"fucA",3.88472956467853
"mltF",-3.88452564960039
"purT",-3.88418115006316
"hisB",3.87757651959557
"rbsD",3.87610631084953
"rbsK",3.86853838476186
"dapB",3.85958810831783
"yghA",-3.85895349011207
"yddB",-3.85370941079713
"pcm",-3.84915498648044
"cyuA",3.84537682436664
"opgG",-3.84232342331752
"ybjX",3.84051503186825
"tyrR",3.83920318456027
"trmB",-3.83794979777901
"yhcB",3.8332518275091
"ymfD",-3.83000208269579
"fecA",-3.8289754670013
"pspE",3.8280336328062
"nadD",-3.82748883804512
"aroP",-3.82733834167499
"astB",-3.82664560710403
"dicD",-3.82601055101155
"dinI",-3.82444772305771
"lysP",-3.82313262733656
"yggE",-3.82291975243968
"hflD",-3.81792638793327
"yncE",-3.81229365941698
"hemN",3.80815397870652
"rlmC",-3.80757748924292
"glyA",-3.80649640433624
"dbpA",-3.80248804911789
"yjbH",-3.79854332506573
